Frame, eSSIM, SSIM
0,0.738753,0.873032
1,0.73763,0.872681
2,0.737477,0.872543
3,0.737484,0.872751
4,0.725435,0.863933
5,0.726189,0.864179
6,0.723144,0.863842
7,0.739457,0.872093
8,0.739535,0.872341
9,0.732053,0.869498
10,0.732963,0.869466
11,0.732775,0.869622
12,0.737273,0.871178
13,0.732314,0.869923
14,0.731402,0.86987
15,0.730846,0.873258
16,0.731,0.873631
17,0.732952,0.874739
18,0.736039,0.875676
19,0.739445,0.876674
20,0.73323,0.875451
21,0.737114,0.876222
22,0.733971,0.875004
23,0.740005,0.876607
24,0.738083,0.878249
25,0.74575,0.880786
26,0.738516,0.878346
27,0.743904,0.87917
28,0.740176,0.878435
29,0.743546,0.879637
30,0.749389,0.881614
31,0.75351,0.885219
32,0.757853,0.888532
33,0.761487,0.891255
34,0.764467,0.893529
35,0.748334,0.895318
36,0.768672,0.902678
37,0.778407,0.9061
38,0.7712,0.904709
39,0.774314,0.905939
40,0.770957,0.905109
41,0.779982,0.907602
42,0.775494,0.907146
43,0.778853,0.908628
44,0.77521,0.908235
45,0.783773,0.910817
46,0.778844,0.909759
47,0.784486,0.911888
48,0.780805,0.911492
49,0.788435,0.914049
50,0.784602,0.913272
51,0.7863,0.914381
52,0.786126,0.914731
53,0.791595,0.916559
54,0.787864,0.915173
55,0.784992,0.914274
56,0.784533,0.913993
57,0.785662,0.914233
58,0.786813,0.914285
59,0.787268,0.914354
60,0.782365,0.908622
61,0.781889,0.908417
62,0.781053,0.908133
63,0.779488,0.907385
64,0.780668,0.908891
65,0.781268,0.909018
66,0.78505,0.909881
67,0.780219,0.907823
68,0.77712,0.908043
69,0.776894,0.907418
70,0.780843,0.908558
71,0.777287,0.907035
72,0.776417,0.906474
73,0.774497,0.905645
74,0.777554,0.906238
75,0.774084,0.905909
76,0.776503,0.90673
77,0.769521,0.905801
78,0.774013,0.908674
79,0.773313,0.906538
80,0.789192,0.911742
81,0.786125,0.910648
82,0.78688,0.910759
83,0.78791,0.911167
84,0.791456,0.912718
85,0.789112,0.911975
86,0.789447,0.912109
87,0.790361,0.912604
88,0.792744,0.913494
89,0.792241,0.913555
90,0.79249,0.914
91,0.793007,0.914847
92,0.796562,0.916165
93,0.798663,0.918113
94,0.797752,0.91842
95,0.798416,0.918954
96,0.798854,0.919335
97,0.79982,0.920032
98,0.798965,0.920465
99,0.801745,0.926987
100,0.802121,0.927464
101,0.803838,0.928189
102,0.804813,0.928972
103,0.805726,0.929636
104,0.805846,0.929925
105,0.807427,0.930365
106,0.808411,0.931306
107,0.808842,0.93185
108,0.807965,0.931582
109,0.808114,0.931582
110,0.808145,0.931543
111,0.808494,0.931586
112,0.808163,0.931354
113,0.807856,0.931164
114,0.808388,0.931451
115,0.745281,0.910092
116,0.801952,0.925077
117,0.801908,0.924906
118,0.798676,0.92336
119,0.797876,0.922959
120,0.785112,0.908629
121,0.779141,0.907093
122,0.780442,0.907021
123,0.780344,0.907057
124,0.781828,0.90733
125,0.776088,0.905231
126,0.777797,0.905658
127,0.771533,0.903873
128,0.771728,0.903773
129,0.77662,0.905351
130,0.782816,0.907373
131,0.779529,0.906206
132,0.777902,0.905923
133,0.780948,0.906549
134,0.784169,0.907529
135,0.782488,0.907086
136,0.781802,0.906927
137,0.781951,0.906896
138,0.77082,0.90785
139,0.78035,0.91162
140,0.77112,0.91096
141,0.779282,0.91356
142,0.78732,0.915684
143,0.78914,0.915819
144,0.791742,0.916719
145,0.792898,0.917324
146,0.79238,0.917468
147,0.793091,0.917858
148,0.792665,0.917926
149,0.794229,0.918363
150,0.793523,0.918742
151,0.794791,0.919415
152,0.795469,0.919822
153,0.796086,0.920119
154,0.796304,0.920826
155,0.796635,0.92134
156,0.7936,0.920173
157,0.79599,0.920949
158,0.786364,0.918136
159,0.791536,0.919658
160,0.789105,0.918805
161,0.792684,0.919809
162,0.786259,0.917742
163,0.789248,0.918267
164,0.787289,0.917729
165,0.793248,0.919233
166,0.78747,0.917579
167,0.787489,0.917468
168,0.786007,0.91684
169,0.79023,0.918097
170,0.789282,0.918317
171,0.789498,0.918946
172,0.80599,0.922237
173,0.798863,0.919631
174,0.794476,0.918092
175,0.794357,0.917836
176,0.79706,0.918731
177,0.790694,0.916664
178,0.787281,0.915336
179,0.785674,0.915054
180,0.803038,0.919792
181,0.799312,0.918131
182,0.796817,0.917191
183,0.797119,0.917221
184,0.800377,0.918269
185,0.799204,0.917706
186,0.797808,0.917305
187,0.796663,0.916973
188,0.797784,0.917432
189,0.797465,0.917438
190,0.796025,0.916677
191,0.753198,0.906762
192,0.769603,0.910865
193,0.781839,0.914283
194,0.770064,0.912249
195,0.774941,0.913479
196,0.777612,0.914126
197,0.780612,0.915572
198,0.785709,0.917791
199,0.781929,0.917052
200,0.782828,0.917114
201,0.786048,0.91735
202,0.791644,0.918491
203,0.79316,0.918611
204,0.794637,0.918952
205,0.793222,0.918786
206,0.796198,0.919525
207,0.7972,0.920129
208,0.794325,0.919542
209,0.794839,0.919745
210,0.793377,0.919472
211,0.796144,0.91994
212,0.793868,0.919627
213,0.794127,0.919834
214,0.795742,0.920125
215,0.795397,0.919502
216,0.797499,0.920178
217,0.789014,0.917996
218,0.786015,0.9173
219,0.791003,0.918431
220,0.784745,0.916804
221,0.786778,0.917381
222,0.784485,0.917005
223,0.795136,0.919561
224,0.796178,0.920682
225,0.796798,0.921594
226,0.793049,0.920992
227,0.795348,0.92178
228,0.793149,0.921487
229,0.79677,0.922451
230,0.795172,0.92218
231,0.797183,0.922737
232,0.796514,0.922723
233,0.800285,0.92366
234,0.796189,0.922498
235,0.793648,0.921752
236,0.793008,0.921302
237,0.795118,0.921533
238,0.794955,0.921425
239,0.795129,0.921535
240,0.793437,0.917996
241,0.792979,0.917726
242,0.792542,0.917518
243,0.792029,0.917224
244,0.791802,0.917133
245,0.791797,0.917226
246,0.790682,0.916703
247,0.792071,0.917126
248,0.792539,0.917253
249,0.792844,0.917203
250,0.791886,0.917095
251,0.791202,0.916931
252,0.791564,0.916799
253,0.793154,0.916988
254,0.792155,0.91718
255,0.793998,0.917759
256,0.792871,0.917934
257,0.793597,0.918206
258,0.793452,0.918602
259,0.794868,0.919115
260,0.794955,0.919279
261,0.797891,0.920072
262,0.800131,0.921317
263,0.800755,0.921811
264,0.801214,0.922297
265,0.800213,0.922233
266,0.801913,0.922779
267,0.801259,0.922885
268,0.803156,0.923533
269,0.802086,0.923523
270,0.804457,0.924031
271,0.806035,0.925568
272,0.805633,0.925831
273,0.80514,0.926298
274,0.806217,0.926565
275,0.807116,0.927103
276,0.806323,0.927556
277,0.807314,0.928075
278,0.807636,0.928454
279,0.808668,0.928718
280,0.809464,0.929843
281,0.809888,0.930398
282,0.810709,0.931038
283,0.811218,0.9317
284,0.811444,0.932284
285,0.811843,0.932826
286,0.812218,0.933266
287,0.812832,0.933632
288,0.813149,0.933998
289,0.813236,0.934327
290,0.813485,0.93449
291,0.812987,0.933971
292,0.812275,0.933427
293,0.811415,0.932999
294,0.810795,0.932629
295,0.809979,0.932313
296,0.809794,0.93219
297,0.810836,0.932793
298,0.811052,0.933025
299,0.811182,0.933193
300,0.800597,0.922291
301,0.80007,0.922231
302,0.800148,0.922394
303,0.79978,0.922308
304,0.799332,0.922134
305,0.799358,0.922083
306,0.799177,0.922011
307,0.799501,0.922082
308,0.799131,0.921891
309,0.798927,0.921768
310,0.798814,0.921635
311,0.798837,0.921563
312,0.798855,0.921721
313,0.79901,0.921869
314,0.79924,0.921936
