Frame, eSSIM, SSIM
0,0.879987,0.94497
1,0.838954,0.923086
2,0.853364,0.931265
3,0.838868,0.92395
4,0.861895,0.936842
5,0.843548,0.925423
6,0.853001,0.931636
7,0.839626,0.923069
8,0.867901,0.93836
9,0.850943,0.928383
10,0.855602,0.931672
11,0.856233,0.931839
12,0.86926,0.940072
13,0.85072,0.936094
14,0.853263,0.936401
15,0.849378,0.935115
16,0.856382,0.935698
17,0.841604,0.932624
18,0.844456,0.933045
19,0.837614,0.931794
20,0.849195,0.934218
21,0.841586,0.932871
22,0.84374,0.933477
23,0.835891,0.931893
24,0.850133,0.934259
25,0.829913,0.92225
26,0.838925,0.927394
27,0.823057,0.917887
28,0.863281,0.938126
29,0.842355,0.924556
30,0.855764,0.931132
31,0.870556,0.940584
32,0.848768,0.927724
33,0.855103,0.931289
34,0.87409,0.941467
35,0.854669,0.930358
36,0.857036,0.931538
37,0.873085,0.940752
38,0.857132,0.93063
39,0.862803,0.933051
40,0.874228,0.940771
41,0.856115,0.929946
42,0.866108,0.935179
43,0.858125,0.930591
44,0.87569,0.940191
45,0.858452,0.930676
46,0.86046,0.931752
47,0.871515,0.940329
48,0.857949,0.930305
49,0.85756,0.93095
50,0.872804,0.939935
51,0.853251,0.928124
52,0.856412,0.929191
53,0.871567,0.938133
54,0.854025,0.927764
55,0.85892,0.930725
56,0.869645,0.93768
57,0.850497,0.926337
58,0.857893,0.929954
59,0.849741,0.927015
60,0.898539,0.95951
61,0.849995,0.933766
62,0.861545,0.937996
63,0.84907,0.931331
64,0.883587,0.950488
65,0.857636,0.935675
66,0.877116,0.945654
67,0.867487,0.940942
68,0.880517,0.94874
69,0.866231,0.937769
70,0.86988,0.941854
71,0.864526,0.937254
72,0.879711,0.947217
73,0.859531,0.933269
74,0.863628,0.935641
75,0.854861,0.931676
76,0.871466,0.942554
77,0.835665,0.920823
78,0.838232,0.922238
79,0.857296,0.934111
80,0.828399,0.918111
81,0.841968,0.923272
82,0.830063,0.917942
83,0.854271,0.932486
84,0.840496,0.925877
85,0.85315,0.93336
86,0.851572,0.934449
87,0.863426,0.939813
88,0.855753,0.938693
89,0.860674,0.939901
90,0.856699,0.939531
91,0.870174,0.942232
92,0.862477,0.940916
93,0.863931,0.941474
94,0.861157,0.941048
95,0.872476,0.943404
96,0.862162,0.937027
97,0.866487,0.938486
98,0.857903,0.934436
99,0.875587,0.943241
100,0.857902,0.931661
101,0.857741,0.931839
102,0.871207,0.941068
103,0.856263,0.930142
104,0.85561,0.928816
105,0.872223,0.938361
106,0.855213,0.928184
107,0.851235,0.927778
108,0.869361,0.936767
109,0.845369,0.923789
110,0.851999,0.926687
111,0.862354,0.933566
112,0.840787,0.921369
113,0.847016,0.924932
114,0.860964,0.932155
115,0.839055,0.921053
116,0.847424,0.924948
117,0.856495,0.930616
118,0.831528,0.918139
119,0.840303,0.920898
120,0.878911,0.946038
121,0.837259,0.922813
122,0.847124,0.926279
123,0.864102,0.936485
124,0.853688,0.933545
125,0.850908,0.929991
