Frame, eSSIM, SSIM
0,0.725425,0.861174
1,0.628566,0.820452
2,0.654045,0.828767
3,0.628664,0.819334
4,0.685946,0.842985
5,0.623483,0.81589
6,0.665433,0.831048
7,0.631117,0.8181
8,0.694926,0.84571
9,0.655282,0.832171
10,0.673078,0.838611
11,0.674246,0.839046
12,0.696275,0.847343
13,0.676852,0.842275
14,0.679367,0.842212
15,0.669303,0.840096
16,0.681457,0.842601
17,0.660072,0.837174
18,0.667448,0.838133
19,0.66554,0.837833
20,0.679481,0.843176
21,0.670062,0.841653
22,0.674374,0.842493
23,0.667773,0.839697
24,0.685777,0.844318
25,0.635986,0.82346
26,0.651074,0.830441
27,0.629448,0.821342
28,0.695281,0.848065
29,0.642387,0.825781
30,0.657323,0.831253
31,0.702518,0.850983
32,0.654166,0.82946
33,0.665491,0.834084
34,0.70824,0.853195
35,0.653163,0.829181
36,0.666088,0.834259
37,0.710167,0.853252
38,0.6539,0.828978
39,0.687093,0.841433
40,0.713395,0.854679
41,0.663786,0.83198
42,0.68616,0.840411
43,0.676799,0.836686
44,0.716264,0.85404
45,0.664179,0.831435
46,0.682958,0.839117
47,0.715753,0.854418
48,0.664695,0.831206
49,0.682509,0.838016
50,0.717874,0.853969
51,0.660274,0.828851
52,0.677121,0.835237
53,0.711799,0.850715
54,0.650969,0.825019
55,0.68426,0.83803
56,0.714743,0.852515
57,0.658027,0.829418
58,0.685256,0.837501
59,0.685125,0.838039
60,0.809332,0.903667
61,0.708282,0.86342
62,0.737,0.872032
63,0.710628,0.862361
64,0.768431,0.887305
65,0.661324,0.842455
66,0.737887,0.873978
67,0.702387,0.860287
68,0.758464,0.883493
69,0.682303,0.848851
70,0.711718,0.860255
71,0.687677,0.852408
72,0.750472,0.877995
73,0.654369,0.835507
74,0.676207,0.843425
75,0.656279,0.836905
76,0.726868,0.865124
77,0.602028,0.81382
78,0.610489,0.815516
79,0.659245,0.834011
80,0.596329,0.804426
81,0.61011,0.808059
82,0.619776,0.815032
83,0.654118,0.829718
84,0.649116,0.829319
85,0.663133,0.836099
86,0.66307,0.838437
87,0.681144,0.845016
88,0.674156,0.844221
89,0.67853,0.846452
90,0.684639,0.84881
91,0.699733,0.852968
92,0.693208,0.852109
93,0.69524,0.853265
94,0.684337,0.852171
95,0.709443,0.857581
96,0.685113,0.84704
97,0.679747,0.843683
98,0.663424,0.836381
99,0.718962,0.859357
100,0.662156,0.835024
101,0.676672,0.840621
102,0.717116,0.856981
103,0.672772,0.834191
104,0.675118,0.83645
105,0.716988,0.856978
106,0.674896,0.836092
107,0.672005,0.836039
108,0.711206,0.854609
109,0.667466,0.832821
110,0.676894,0.83822
111,0.704293,0.852006
112,0.650721,0.824749
113,0.674907,0.836964
114,0.69864,0.848722
115,0.647912,0.826539
116,0.664947,0.833165
117,0.688154,0.843625
118,0.639267,0.821045
119,0.65984,0.828286
120,0.747299,0.873074
121,0.640359,0.824729
122,0.653808,0.830089
123,0.705382,0.853466
124,0.686968,0.848974
125,0.685044,0.846848
126,0.677409,0.843216
127,0.704793,0.851986
128,0.691594,0.849146
129,0.69706,0.850655
130,0.686265,0.848201
131,0.701765,0.851695
132,0.689026,0.848159
133,0.691979,0.848375
134,0.686107,0.847197
135,0.70072,0.850859
136,0.688306,0.84769
137,0.692745,0.848757
138,0.685496,0.84557
139,0.699197,0.84959
140,0.619512,0.809036
141,0.669882,0.832739
142,0.694295,0.848941
143,0.627405,0.812201
144,0.647863,0.824219
145,0.692067,0.845322
146,0.628265,0.813365
147,0.64908,0.823103
148,0.694569,0.843987
149,0.628566,0.812019
150,0.649218,0.82145
151,0.683617,0.838664
152,0.62782,0.811222
153,0.649358,0.821935
154,0.688283,0.840639
155,0.632873,0.81408
156,0.656133,0.824959
157,0.697754,0.844768
158,0.662293,0.826615
159,0.687865,0.840019
160,0.697639,0.846346
161,0.713961,0.853629
162,0.712424,0.854947
163,0.718861,0.858195
164,0.713722,0.858341
165,0.728616,0.862145
166,0.720507,0.861032
167,0.728069,0.863734
168,0.72049,0.862945
169,0.740043,0.867647
170,0.730957,0.866928
171,0.738074,0.869426
172,0.734225,0.868668
173,0.753552,0.873554
174,0.743245,0.870913
175,0.748952,0.872484
176,0.744449,0.871585
177,0.751303,0.873058
178,0.706393,0.853312
179,0.697848,0.84703
180,0.78084,0.88995
181,0.724481,0.865367
182,0.707536,0.858055
183,0.686435,0.846844
184,0.751367,0.87658
185,0.674605,0.842133
186,0.705246,0.85484
187,0.684524,0.846839
188,0.738159,0.87126
189,0.67847,0.844251
190,0.706924,0.856112
191,0.688374,0.849819
192,0.737721,0.870916
193,0.67335,0.841495
194,0.706056,0.856214
195,0.680023,0.846087
196,0.733039,0.868418
197,0.669384,0.840571
198,0.700602,0.853826
199,0.672974,0.843193
200,0.735005,0.869935
201,0.670537,0.842259
202,0.715579,0.859672
203,0.722834,0.866275
204,0.735036,0.871044
205,0.723621,0.869267
206,0.731152,0.871133
207,0.728523,0.870374
208,0.734437,0.871072
209,0.723213,0.868681
210,0.726239,0.868883
211,0.722333,0.868896
212,0.737719,0.87285
213,0.722562,0.868216
214,0.722296,0.864959
215,0.694544,0.852905
216,0.733747,0.869963
217,0.681076,0.844736
218,0.699082,0.854653
219,0.740385,0.871757
220,0.691373,0.848466
221,0.70135,0.854659
222,0.748392,0.874402
223,0.70607,0.855835
224,0.727606,0.864244
225,0.706986,0.857943
226,0.748313,0.874549
227,0.706764,0.856531
228,0.725191,0.864241
229,0.707248,0.85773
230,0.750068,0.875763
231,0.703379,0.854338
232,0.72666,0.863306
233,0.70451,0.856054
234,0.7459,0.873323
235,0.697862,0.852139
236,0.7038,0.853712
237,0.744081,0.871563
238,0.713566,0.85822
239,0.712557,0.858812
240,0.797799,0.904477
241,0.658698,0.842548
242,0.691588,0.857861
243,0.655924,0.839596
244,0.743318,0.882176
245,0.665567,0.847524
246,0.710807,0.866213
247,0.713555,0.873559
248,0.747116,0.88341
249,0.734332,0.881376
250,0.740261,0.882172
251,0.734715,0.880931
252,0.745181,0.882873
253,0.726875,0.87958
254,0.737713,0.881594
255,0.731683,0.880459
256,0.74795,0.883527
257,0.734054,0.881322
258,0.741292,0.882433
259,0.732131,0.880494
260,0.741843,0.882888
261,0.675254,0.849342
262,0.69221,0.856387
263,0.741457,0.881019
264,0.685759,0.852853
265,0.716428,0.867127
266,0.698089,0.859567
267,0.743484,0.880778
268,0.690387,0.855779
269,0.716641,0.867871
270,0.703275,0.862929
271,0.748571,0.882816
272,0.709196,0.864267
273,0.7229,0.871149
274,0.710252,0.865981
275,0.746433,0.882839
276,0.70425,0.861839
277,0.728572,0.872594
278,0.70716,0.863597
279,0.749623,0.882308
280,0.707234,0.861979
281,0.72525,0.871025
282,0.711345,0.865141
283,0.746234,0.88186
284,0.693164,0.85609
285,0.726387,0.872421
286,0.71948,0.868747
287,0.751948,0.883644
288,0.723193,0.878325
289,0.729554,0.879245
290,0.716167,0.877185
291,0.741654,0.882047
292,0.672287,0.846383
293,0.690182,0.854298
294,0.698534,0.85665
295,0.731101,0.873684
296,0.717823,0.871083
297,0.726122,0.873522
298,0.719012,0.872574
299,0.737808,0.876943
300,0.818846,0.91475
301,0.760864,0.904666
302,0.762296,0.90342
303,0.746385,0.900807
304,0.76878,0.904206
305,0.745057,0.899214
306,0.745095,0.898945
307,0.744435,0.898742
308,0.764105,0.90195
309,0.737198,0.897333
310,0.746195,0.898325
311,0.74164,0.897762
312,0.754552,0.900109
313,0.740036,0.896072
314,0.729899,0.883724
315,0.743761,0.897519
316,0.75682,0.900108
317,0.728611,0.894209
318,0.718572,0.890918
319,0.710953,0.889324
320,0.74181,0.894883
321,0.724633,0.891762
322,0.725994,0.891742
323,0.738711,0.894275
324,0.628999,0.825797
325,0.675491,0.850936
326,0.723614,0.87763
327,0.647555,0.83096
328,0.661583,0.843252
329,0.723955,0.87419
330,0.655528,0.839432
331,0.676995,0.848925
332,0.722891,0.872554
333,0.657083,0.838806
334,0.687306,0.850498
335,0.715216,0.866791
336,0.664463,0.835889
337,0.681423,0.844683
338,0.707661,0.860402
339,0.666133,0.83782
340,0.703184,0.857709
341,0.659301,0.82944
342,0.66572,0.83555
343,0.703987,0.855723
344,0.654003,0.829825
345,0.68291,0.841971
346,0.70526,0.855563
347,0.648038,0.829394
348,0.65898,0.833134
349,0.711393,0.856405
350,0.64999,0.828932
351,0.67555,0.838597
352,0.716301,0.856751
353,0.658623,0.830673
354,0.68847,0.842388
355,0.66683,0.83651
356,0.716682,0.856688
357,0.649555,0.827457
358,0.678214,0.836914
359,0.683949,0.841044
360,0.791461,0.894433
361,0.674054,0.846602
362,0.719507,0.863115
363,0.669117,0.844704
364,0.764832,0.883537
365,0.682806,0.846801
366,0.707438,0.856868
367,0.75589,0.878765
368,0.676748,0.841534
369,0.692334,0.846981
370,0.7462,0.872377
371,0.673456,0.836996
372,0.68391,0.841185
373,0.735684,0.866247
374,0.665332,0.832251
375,0.691295,0.842765
376,0.727683,0.862021
377,0.661737,0.829375
378,0.685301,0.838529
379,0.718884,0.85658
380,0.649073,0.82241
381,0.671821,0.832742
382,0.709329,0.850612
383,0.639122,0.815488
384,0.67227,0.831162
385,0.703234,0.846372
386,0.625339,0.80838
387,0.658235,0.822848
388,0.691233,0.840373
389,0.627913,0.808506
390,0.65262,0.8211
391,0.691928,0.843932
392,0.631123,0.812394
393,0.655112,0.822878
394,0.691665,0.843955
395,0.627295,0.814104
396,0.676113,0.834454
397,0.698446,0.848712
398,0.686906,0.846111
399,0.695018,0.84832
400,0.687204,0.846864
401,0.701077,0.850686
402,0.683254,0.845582
403,0.69452,0.849087
404,0.686089,0.846963
405,0.703105,0.850941
406,0.687512,0.846866
407,0.69483,0.848548
408,0.693563,0.848174
409,0.699873,0.849694
410,0.681539,0.841528
411,0.659217,0.830179
412,0.693516,0.845772
413,0.624704,0.810608
414,0.633618,0.814664
415,0.678092,0.838179
416,0.626038,0.812113
417,0.674147,0.834297
418,0.618991,0.806274
419,0.63931,0.813444
420,0.743775,0.867646
421,0.628844,0.819113
422,0.6565,0.833309
423,0.704124,0.853746
424,0.632077,0.819673
425,0.63906,0.823138
426,0.700249,0.850537
427,0.640736,0.822913
428,0.655443,0.829625
429,0.701925,0.850427
430,0.637126,0.822479
431,0.664008,0.832673
432,0.699459,0.848454
433,0.635764,0.820038
434,0.658191,0.827825
435,0.69363,0.84578
436,0.631455,0.819703
437,0.651024,0.82613
438,0.687684,0.842362
439,0.628485,0.816515
440,0.643475,0.821888
441,0.681661,0.838886
442,0.619925,0.811593
443,0.630914,0.815232
444,0.673801,0.835508
445,0.609536,0.80709
446,0.628918,0.813232
447,0.669361,0.831439
448,0.607096,0.805007
449,0.62735,0.812327
450,0.667059,0.830366
451,0.620938,0.809739
452,0.632396,0.813818
453,0.668229,0.829504
454,0.617129,0.806706
455,0.63577,0.812766
456,0.670175,0.829878
457,0.614205,0.802386
458,0.634898,0.813125
459,0.679333,0.833517
460,0.62655,0.808051
461,0.646524,0.816494
462,0.68243,0.835049
463,0.634017,0.809536
464,0.656008,0.821649
465,0.691402,0.840096
466,0.640477,0.815997
467,0.659539,0.823736
468,0.69736,0.841704
469,0.642801,0.816454
470,0.667148,0.827582
471,0.695527,0.841738
472,0.648741,0.820626
473,0.660698,0.825933
474,0.69068,0.838598
475,0.643076,0.817899
476,0.662602,0.82586
477,0.691018,0.838262
478,0.641259,0.815245
479,0.662843,0.821847
480,0.748021,0.872849
481,0.667788,0.835962
482,0.686249,0.843423
483,0.716378,0.857557
484,0.654081,0.828002
485,0.681407,0.83908
486,0.707824,0.852842
487,0.647401,0.824121
488,0.673153,0.834652
489,0.699496,0.848318
490,0.638644,0.819803
491,0.663197,0.830053
492,0.693303,0.845459
493,0.622341,0.813594
494,0.650886,0.823207
495,0.679681,0.837423
496,0.624312,0.811969
497,0.633758,0.81635
498,0.677084,0.835421
499,0.600543,0.798666
500,0.622691,0.806431
501,0.665145,0.828312
502,0.592704,0.79219
503,0.611891,0.800227
504,0.653142,0.820912
505,0.605995,0.798851
506,0.621381,0.80534
507,0.659506,0.8231
508,0.598079,0.796176
509,0.628185,0.808155
510,0.660983,0.824753
511,0.608935,0.800443
512,0.633314,0.811274
513,0.671618,0.829935
514,0.623154,0.806624
515,0.638195,0.814403
516,0.680081,0.835446
517,0.638339,0.817724
518,0.652767,0.826473
519,0.669298,0.835418
520,0.691983,0.845955
521,0.68128,0.84419
522,0.690957,0.848001
523,0.688129,0.848086
524,0.703782,0.852416
525,0.691601,0.850628
526,0.701608,0.853786
527,0.698113,0.853942
528,0.715922,0.85901
529,0.7083,0.858659
530,0.718192,0.862265
531,0.717997,0.863652
532,0.738513,0.869119
533,0.72679,0.86662
534,0.727185,0.866848
535,0.724516,0.866566
536,0.735052,0.86915
537,0.723408,0.866364
538,0.729427,0.86781
539,0.732017,0.868239
540,0.811686,0.908602
541,0.760896,0.899544
542,0.768555,0.900128
543,0.756493,0.897819
544,0.766262,0.899115
545,0.744527,0.89399
546,0.744243,0.893249
547,0.736809,0.89174
548,0.759563,0.895848
549,0.741393,0.892148
550,0.742713,0.891907
551,0.740261,0.891016
552,0.751435,0.893171
553,0.738109,0.890024
554,0.740444,0.890212
555,0.733366,0.888557
556,0.744906,0.890938
557,0.734405,0.888867
558,0.740255,0.889947
559,0.73197,0.888089
560,0.747671,0.891428
561,0.693787,0.85756
562,0.726227,0.874201
563,0.731606,0.88048
564,0.748479,0.887325
565,0.734238,0.883984
566,0.73876,0.884766
567,0.732855,0.88354
568,0.742453,0.885872
569,0.730996,0.882754
570,0.732605,0.88316
571,0.730523,0.882327
572,0.745467,0.885606
573,0.732005,0.876635
574,0.711513,0.862508
