Frame, eSSIM, SSIM
0,0.851876,0.925345
1,0.678634,0.858096
2,0.714113,0.869444
3,0.674227,0.854591
4,0.770811,0.893973
5,0.657043,0.845626
6,0.731732,0.872297
7,0.67647,0.853089
8,0.772686,0.893702
9,0.706382,0.870342
10,0.731497,0.879668
11,0.753193,0.888346
12,0.789801,0.901997
13,0.754589,0.895479
14,0.754954,0.89499
15,0.737849,0.89159
16,0.759266,0.894585
17,0.723699,0.887666
18,0.737856,0.889923
19,0.731742,0.889221
20,0.757167,0.894314
21,0.741547,0.891974
22,0.750384,0.893365
23,0.740743,0.891091
24,0.77116,0.897298
25,0.713681,0.869411
26,0.741867,0.882694
27,0.703841,0.866303
28,0.784525,0.902199
29,0.72794,0.875019
30,0.764673,0.890299
31,0.740338,0.880588
32,0.808503,0.90847
33,0.750903,0.883188
34,0.78582,0.89702
35,0.762699,0.887961
36,0.81172,0.909686
37,0.760197,0.885114
38,0.787506,0.896194
39,0.76342,0.886695
40,0.814956,0.909206
41,0.765614,0.885871
42,0.791448,0.896774
43,0.769158,0.888076
44,0.814245,0.906992
45,0.764216,0.88448
46,0.790064,0.895523
47,0.766312,0.88587
48,0.813477,0.907278
49,0.760726,0.883774
50,0.787493,0.894477
51,0.763678,0.885518
52,0.811945,0.905542
53,0.748189,0.877695
54,0.769757,0.886133
55,0.752671,0.880674
56,0.805926,0.903268
57,0.74336,0.876984
58,0.773472,0.88805
59,0.781843,0.892222
60,0.891463,0.943728
61,0.77784,0.900644
62,0.808372,0.91201
63,0.777567,0.899877
64,0.84516,0.927076
65,0.775204,0.894864
66,0.811964,0.91354
67,0.772178,0.897313
68,0.842985,0.925774
69,0.751593,0.887849
70,0.777938,0.896864
71,0.748492,0.887382
72,0.824609,0.917886
73,0.716754,0.872242
74,0.758449,0.887019
75,0.731287,0.877175
76,0.792525,0.90245
77,0.648424,0.841712
78,0.679184,0.852248
79,0.650656,0.842352
80,0.742654,0.879975
81,0.637773,0.834531
82,0.69338,0.856839
83,0.719303,0.871316
84,0.748067,0.884942
85,0.741907,0.884988
86,0.751098,0.888695
87,0.754147,0.891189
88,0.768618,0.89521
89,0.76094,0.895194
90,0.772485,0.899329
91,0.772449,0.900162
92,0.796246,0.905792
93,0.784776,0.90423
94,0.791594,0.906298
95,0.791589,0.906396
96,0.80757,0.91001
97,0.74881,0.882559
98,0.778099,0.896131
99,0.743572,0.882632
100,0.813955,0.91004
101,0.759949,0.885596
102,0.767047,0.889086
103,0.81051,0.907646
104,0.771819,0.888262
105,0.768908,0.888057
106,0.809696,0.907592
107,0.764368,0.885781
108,0.765364,0.886034
109,0.807231,0.906605
110,0.764904,0.885639
111,0.773402,0.890662
112,0.805246,0.906272
113,0.729226,0.872001
114,0.753836,0.883567
115,0.737114,0.87697
116,0.783601,0.895655
117,0.673876,0.847752
118,0.700812,0.85753
119,0.735393,0.872045
120,0.856108,0.928104
121,0.68607,0.858881
122,0.740948,0.877881
123,0.759693,0.885652
124,0.799994,0.905891
125,0.782681,0.900844
126,0.76612,0.887933
127,0.775563,0.896494
128,0.797675,0.905052
129,0.782211,0.902214
130,0.782422,0.901935
131,0.777477,0.900709
132,0.789848,0.902967
133,0.773012,0.899117
134,0.779053,0.900104
135,0.77016,0.898357
136,0.788368,0.902202
137,0.769061,0.897802
138,0.767608,0.896387
139,0.779933,0.898987
140,0.681091,0.85082
141,0.742191,0.876981
142,0.767295,0.894316
143,0.687251,0.851987
144,0.71649,0.866377
145,0.699768,0.859722
146,0.76761,0.891572
147,0.697018,0.855629
148,0.725328,0.868893
149,0.708138,0.862705
150,0.775924,0.892326
151,0.721884,0.865863
152,0.744914,0.876027
153,0.72602,0.869339
154,0.779952,0.892388
155,0.716313,0.863663
156,0.743744,0.874669
157,0.733514,0.872596
158,0.79281,0.898441
159,0.785234,0.897697
160,0.791682,0.900321
161,0.78599,0.899949
162,0.800066,0.904003
163,0.797527,0.904968
164,0.799134,0.906533
165,0.797243,0.906827
166,0.814632,0.910662
167,0.806408,0.910475
168,0.816137,0.913279
169,0.814753,0.913588
170,0.831184,0.91715
171,0.821288,0.915309
172,0.826772,0.91612
173,0.823067,0.915522
174,0.831386,0.916971
175,0.818795,0.914744
176,0.824009,0.915501
177,0.813892,0.913182
178,0.819805,0.913822
179,0.781014,0.892091
180,0.875174,0.937545
181,0.813114,0.91317
182,0.80788,0.909053
183,0.775158,0.897577
184,0.835507,0.921953
185,0.746082,0.883142
186,0.774882,0.895842
187,0.748123,0.886849
188,0.826774,0.918743
189,0.753669,0.88864
190,0.786421,0.899843
191,0.759944,0.891611
192,0.824221,0.916587
193,0.758225,0.890296
194,0.792005,0.901585
195,0.765721,0.894723
196,0.818319,0.914964
197,0.752445,0.888487
198,0.784996,0.89944
199,0.765692,0.894205
200,0.820121,0.915154
201,0.744301,0.883771
202,0.796255,0.904632
203,0.802749,0.911279
204,0.82354,0.918484
205,0.812763,0.917352
206,0.816735,0.918471
207,0.812203,0.917533
208,0.821126,0.918885
209,0.801133,0.915251
210,0.807415,0.915927
211,0.805652,0.916325
212,0.820302,0.91975
213,0.80692,0.916233
214,0.804294,0.912522
215,0.779527,0.900455
216,0.827081,0.919937
217,0.782067,0.898874
218,0.800033,0.906844
219,0.782538,0.900384
220,0.831157,0.919925
221,0.783315,0.898328
222,0.80142,0.905978
223,0.787709,0.900693
224,0.832148,0.919822
225,0.791797,0.901509
226,0.809981,0.909608
227,0.794796,0.904257
228,0.831579,0.92026
229,0.793675,0.904476
230,0.809758,0.910659
231,0.792218,0.904331
232,0.831672,0.920294
233,0.789547,0.901742
234,0.799656,0.905609
235,0.784487,0.900291
236,0.824795,0.916285
237,0.771678,0.893798
238,0.797482,0.90498
239,0.806219,0.906917
240,0.892789,0.948527
241,0.730388,0.890191
242,0.757501,0.900542
243,0.724173,0.887812
244,0.816701,0.924782
245,0.734439,0.884448
246,0.79408,0.911182
247,0.786017,0.91783
248,0.831966,0.927765
249,0.817644,0.925794
250,0.824839,0.926898
251,0.817725,0.925548
252,0.832172,0.927743
253,0.816411,0.925422
254,0.825475,0.92692
255,0.820329,0.926084
256,0.834305,0.928434
257,0.823775,0.926866
258,0.832039,0.928134
259,0.821625,0.926457
260,0.828782,0.927863
261,0.780057,0.906346
262,0.799265,0.911989
263,0.772204,0.903592
264,0.825612,0.926167
265,0.781853,0.905954
266,0.803093,0.914457
267,0.784185,0.907379
268,0.837253,0.928612
269,0.79663,0.910801
270,0.817449,0.917425
271,0.802022,0.912619
272,0.840202,0.929097
273,0.799558,0.911982
274,0.820635,0.919738
275,0.802152,0.913636
276,0.8412,0.92932
277,0.80267,0.911783
278,0.815809,0.917366
279,0.804856,0.913135
280,0.840874,0.928067
281,0.802519,0.912361
282,0.817748,0.917976
283,0.801255,0.911366
284,0.843469,0.929295
285,0.793596,0.907731
286,0.827398,0.921002
287,0.829789,0.924559
288,0.850737,0.931069
289,0.838953,0.928501
290,0.83998,0.926812
291,0.814884,0.915815
292,0.846412,0.929887
293,0.78014,0.902149
294,0.82244,0.917639
295,0.824434,0.92062
296,0.835879,0.925325
297,0.823476,0.923318
298,0.827633,0.923651
299,0.830686,0.92395
300,0.914346,0.959246
301,0.82192,0.948057
302,0.82683,0.947367
303,0.816772,0.945679
304,0.847881,0.949039
305,0.817293,0.944416
306,0.82684,0.945544
307,0.817605,0.943734
308,0.834209,0.945722
309,0.8083,0.941162
310,0.817289,0.942035
311,0.805108,0.940372
312,0.823321,0.942716
313,0.800111,0.937511
314,0.786676,0.917262
315,0.809152,0.9391
316,0.823864,0.942351
317,0.79318,0.936922
318,0.787417,0.93429
319,0.785803,0.933694
320,0.813139,0.937946
321,0.783214,0.92778
322,0.783725,0.918066
323,0.744769,0.898896
324,0.799291,0.921988
325,0.703862,0.869453
326,0.745734,0.888693
327,0.726161,0.879185
328,0.813159,0.920928
329,0.747816,0.88756
330,0.777038,0.900601
331,0.812941,0.919829
332,0.749755,0.887804
333,0.766379,0.893414
334,0.80619,0.914505
335,0.751479,0.885115
336,0.750059,0.886111
337,0.790307,0.90645
338,0.74334,0.879841
339,0.761293,0.888006
340,0.787714,0.903114
341,0.744636,0.878916
342,0.764954,0.888863
343,0.796582,0.905681
344,0.746259,0.880024
345,0.778324,0.895472
346,0.799183,0.906212
347,0.749533,0.885413
348,0.779093,0.896199
349,0.747038,0.883992
350,0.798131,0.904697
351,0.747451,0.882678
352,0.775522,0.893252
353,0.745052,0.881446
354,0.79616,0.902594
355,0.742143,0.881005
356,0.777269,0.895038
357,0.751214,0.884017
358,0.798046,0.904385
359,0.790113,0.898229
360,0.872847,0.935759
361,0.776959,0.898166
362,0.807572,0.909606
363,0.779143,0.900374
364,0.842141,0.925162
365,0.784921,0.90073
366,0.809503,0.910112
367,0.777585,0.897288
368,0.828804,0.919051
369,0.766963,0.890726
370,0.79633,0.902416
371,0.768858,0.891608
372,0.82043,0.913462
373,0.748646,0.881109
374,0.782452,0.895124
375,0.757259,0.884666
376,0.80749,0.907089
377,0.734668,0.873979
378,0.750118,0.878686
379,0.79746,0.900929
380,0.723282,0.867026
381,0.733721,0.871926
382,0.785697,0.895704
383,0.720217,0.865011
384,0.734552,0.871167
385,0.787011,0.894563
386,0.722291,0.865575
387,0.751071,0.877047
388,0.780464,0.89134
389,0.724585,0.865587
390,0.751511,0.877451
391,0.786469,0.895961
392,0.725844,0.868723
393,0.751784,0.878924
394,0.789537,0.897123
395,0.727399,0.868663
396,0.768181,0.885645
397,0.774298,0.892433
398,0.795982,0.900914
399,0.786075,0.898886
400,0.794037,0.900918
401,0.785068,0.898959
402,0.789872,0.900498
403,0.779887,0.89821
404,0.786241,0.899741
405,0.782031,0.898473
406,0.795866,0.901596
407,0.776781,0.897271
408,0.781964,0.898508
409,0.7744,0.896514
410,0.786192,0.899262
411,0.749538,0.879623
412,0.738445,0.873987
413,0.711005,0.86288
414,0.774219,0.890226
415,0.702132,0.856454
416,0.712633,0.862285
417,0.761679,0.885503
418,0.704247,0.857094
419,0.733275,0.868828
420,0.851796,0.924332
421,0.733066,0.879664
422,0.764877,0.89315
423,0.808993,0.911831
424,0.724668,0.872405
425,0.761391,0.888017
426,0.800488,0.906887
427,0.728298,0.873931
428,0.765269,0.888876
429,0.742104,0.881555
430,0.79577,0.903823
431,0.728443,0.874331
432,0.749219,0.882662
433,0.792824,0.901709
434,0.733456,0.874742
435,0.7636,0.886765
436,0.735752,0.876908
437,0.787208,0.898769
438,0.719861,0.869528
439,0.751616,0.880512
440,0.726939,0.872649
441,0.779826,0.894223
442,0.711691,0.86476
443,0.736207,0.873745
444,0.708721,0.864856
445,0.771083,0.890185
446,0.706254,0.859936
447,0.734075,0.870647
448,0.703254,0.859869
449,0.766434,0.886942
450,0.704364,0.857944
451,0.711966,0.862226
452,0.763186,0.885153
453,0.69929,0.854901
454,0.721934,0.864405
455,0.706619,0.857262
456,0.759049,0.882884
457,0.702963,0.855691
458,0.722487,0.863897
459,0.700262,0.855657
460,0.762253,0.883327
461,0.706082,0.856357
462,0.734518,0.868618
463,0.709154,0.857966
464,0.768696,0.885849
465,0.719458,0.861414
466,0.741889,0.873512
467,0.721263,0.864523
468,0.77665,0.888739
469,0.714442,0.859799
470,0.75015,0.875724
471,0.732421,0.869966
472,0.77836,0.889481
473,0.72744,0.867094
474,0.745436,0.874642
475,0.726899,0.868098
476,0.772547,0.88727
477,0.720826,0.86298
478,0.744694,0.872067
479,0.755936,0.877768
480,0.860345,0.930093
481,0.744653,0.884866
482,0.770925,0.892601
483,0.748214,0.883183
484,0.813671,0.912086
485,0.731907,0.873522
486,0.761818,0.886368
487,0.739273,0.878509
488,0.801556,0.90562
489,0.716995,0.867441
490,0.742632,0.877162
491,0.722918,0.87048
492,0.791372,0.901938
493,0.716302,0.865097
494,0.748765,0.879036
495,0.717971,0.863375
496,0.789193,0.897855
497,0.746049,0.878025
498,0.734703,0.871073
499,0.711225,0.861125
500,0.784821,0.895727
501,0.705675,0.858306
502,0.73948,0.872018
503,0.709931,0.861338
504,0.770951,0.889128
505,0.718148,0.862839
506,0.742228,0.872704
507,0.714095,0.861661
508,0.775676,0.889572
509,0.716824,0.860782
510,0.739367,0.87095
511,0.718177,0.862604
512,0.779591,0.89128
513,0.719205,0.861941
514,0.750049,0.87633
515,0.716091,0.863632
516,0.783983,0.893939
517,0.729549,0.868897
518,0.7576,0.884123
519,0.76569,0.888325
520,0.802859,0.905319
521,0.792055,0.904323
522,0.801071,0.90734
523,0.79381,0.906799
524,0.808498,0.90973
525,0.795705,0.908499
526,0.80266,0.910796
527,0.797621,0.910497
528,0.822205,0.916046
529,0.811631,0.915501
530,0.818907,0.917908
531,0.81587,0.918176
532,0.839442,0.922983
533,0.819369,0.919625
534,0.827733,0.921266
535,0.824014,0.920436
536,0.840337,0.923511
537,0.827828,0.921427
538,0.83319,0.922338
539,0.834632,0.922624
540,0.91009,0.954847
541,0.849286,0.947119
542,0.847272,0.946282
543,0.837729,0.944742
544,0.857579,0.946738
545,0.821136,0.941429
546,0.827756,0.941628
547,0.818654,0.940116
548,0.843327,0.943291
549,0.819564,0.939554
550,0.825154,0.939809
551,0.817069,0.937973
552,0.833517,0.940722
553,0.817948,0.937834
554,0.822481,0.938333
555,0.813069,0.936582
556,0.826692,0.938599
557,0.812614,0.936228
558,0.816423,0.936851
559,0.812648,0.936287
560,0.833431,0.939336
561,0.768633,0.89846
562,0.80532,0.918746
563,0.809998,0.926416
564,0.832128,0.933851
565,0.819533,0.931773
566,0.827321,0.933106
567,0.82396,0.932437
568,0.838582,0.934958
569,0.82248,0.932397
570,0.826941,0.933072
571,0.82285,0.932314
572,0.84067,0.935074
573,0.822304,0.928857
574,0.823819,0.923367
575,0.790934,0.906787
576,0.831815,0.930382
577,0.802432,0.911394
