Frame, eSSIM, SSIM
0,0.912285,0.953729
1,0.791654,0.907946
2,0.82871,0.92167
3,0.787954,0.905422
4,0.85763,0.933776
5,0.782958,0.899658
6,0.829891,0.919556
7,0.7925,0.904526
8,0.859068,0.933909
9,0.796915,0.910639
10,0.824498,0.921491
11,0.8289,0.922712
12,0.868793,0.939317
13,0.834498,0.934312
14,0.837944,0.933896
15,0.826172,0.931788
16,0.833799,0.932201
17,0.811974,0.928829
18,0.815883,0.929326
19,0.812882,0.928695
20,0.829403,0.931444
21,0.816645,0.929775
22,0.820692,0.930408
23,0.811414,0.928863
24,0.840222,0.933084
25,0.798794,0.911628
26,0.823791,0.92476
27,0.799462,0.912002
28,0.859704,0.937529
29,0.829098,0.92129
30,0.846207,0.92856
31,0.830923,0.922873
32,0.883409,0.942183
33,0.845506,0.925564
34,0.865299,0.933591
35,0.848246,0.926872
36,0.880013,0.941429
37,0.844514,0.924779
38,0.861991,0.931599
39,0.848867,0.926187
40,0.882405,0.941017
41,0.843183,0.923344
42,0.859525,0.930177
43,0.846581,0.924823
44,0.879927,0.939359
45,0.84711,0.924201
46,0.861528,0.930532
47,0.84516,0.924277
48,0.884699,0.940871
49,0.849415,0.925632
50,0.867037,0.93236
51,0.850488,0.926173
52,0.88426,0.940224
53,0.846381,0.924013
54,0.861061,0.930141
55,0.845269,0.923954
56,0.878525,0.93803
57,0.838253,0.921262
58,0.856086,0.927609
59,0.85868,0.929149
60,0.937804,0.965541
61,0.83965,0.930207
62,0.863898,0.939778
63,0.839081,0.929309
64,0.903318,0.953361
65,0.839876,0.926796
66,0.881866,0.944543
67,0.854404,0.933985
68,0.898583,0.952285
69,0.840344,0.926197
70,0.864165,0.936839
71,0.842508,0.92819
72,0.890518,0.947976
73,0.832501,0.922266
74,0.850805,0.929319
75,0.834145,0.922638
76,0.880562,0.942147
77,0.768328,0.898059
78,0.805634,0.912407
79,0.762028,0.8942
80,0.834004,0.925804
81,0.755147,0.889786
82,0.803096,0.909994
83,0.803442,0.911735
84,0.848646,0.932497
85,0.838604,0.931925
86,0.843946,0.93376
87,0.84464,0.934567
88,0.861215,0.937456
89,0.854007,0.937035
90,0.861918,0.939347
91,0.858947,0.939216
92,0.878395,0.942567
93,0.864185,0.941069
94,0.871647,0.942376
95,0.863099,0.941379
96,0.879432,0.944054
97,0.836984,0.925057
98,0.860368,0.934798
99,0.837968,0.924962
100,0.885537,0.944479
101,0.846067,0.925427
102,0.843345,0.925231
103,0.881808,0.941813
104,0.850635,0.925956
105,0.851578,0.926948
106,0.880482,0.940398
107,0.843197,0.923677
108,0.845465,0.924451
109,0.87441,0.93798
110,0.834963,0.920284
111,0.846703,0.925619
112,0.873176,0.937432
113,0.815368,0.913025
114,0.850259,0.927061
115,0.835199,0.921017
116,0.868836,0.934738
117,0.823634,0.91532
118,0.83806,0.920898
119,0.827992,0.916322
120,0.911086,0.9537
121,0.788375,0.907326
122,0.841011,0.925442
123,0.842089,0.924009
124,0.873115,0.939577
125,0.849789,0.930977
126,0.845121,0.925735
127,0.854897,0.933331
128,0.87565,0.941045
129,0.861489,0.938876
130,0.863156,0.938989
131,0.855159,0.93762
132,0.867989,0.939408
133,0.851703,0.936299
134,0.85795,0.937035
135,0.849715,0.935566
136,0.860524,0.937308
137,0.847233,0.934413
138,0.841916,0.933036
139,0.850183,0.934219
140,0.773283,0.896879
141,0.814082,0.913893
142,0.841709,0.928892
143,0.769384,0.893538
144,0.804995,0.909731
145,0.780439,0.89926
146,0.845362,0.927603
147,0.784783,0.899376
148,0.820912,0.914191
149,0.793569,0.904543
150,0.846171,0.927713
151,0.800488,0.905205
152,0.824646,0.915554
153,0.79988,0.90593
154,0.85025,0.927531
155,0.80063,0.905689
156,0.829453,0.917084
157,0.805536,0.909245
158,0.858792,0.93292
159,0.853748,0.932716
160,0.86018,0.934632
161,0.857309,0.934407
162,0.869609,0.93766
163,0.865504,0.938113
164,0.868334,0.939553
165,0.866358,0.939442
166,0.880022,0.942312
167,0.875689,0.9423
168,0.879829,0.943846
169,0.879,0.94395
170,0.889787,0.946286
171,0.877568,0.944243
172,0.880101,0.944479
173,0.875659,0.943775
174,0.887787,0.945438
175,0.878318,0.943931
176,0.88171,0.944357
177,0.873719,0.942867
178,0.880628,0.943564
179,0.859541,0.930447
180,0.926331,0.961494
181,0.877004,0.943255
182,0.876449,0.941406
183,0.861056,0.934654
184,0.896994,0.950275
185,0.854412,0.931385
186,0.869725,0.938162
187,0.853154,0.931481
188,0.894233,0.948831
189,0.843222,0.927396
190,0.861192,0.935193
191,0.847676,0.929494
192,0.893175,0.948115
193,0.85468,0.931803
194,0.87266,0.938598
195,0.854804,0.932528
196,0.88821,0.946915
197,0.850437,0.930487
198,0.866566,0.937244
199,0.853233,0.931923
200,0.888334,0.947071
201,0.838832,0.927862
202,0.876026,0.942399
203,0.879777,0.945437
204,0.889945,0.949249
205,0.880524,0.948357
206,0.884705,0.949071
207,0.879483,0.947894
208,0.883861,0.948452
209,0.870367,0.946127
210,0.87329,0.946308
211,0.87215,0.946207
212,0.882367,0.94834
213,0.875167,0.945873
214,0.87508,0.94326
215,0.85913,0.936648
216,0.88378,0.947653
217,0.851313,0.932147
218,0.864884,0.937046
219,0.853901,0.932587
220,0.886281,0.946788
221,0.850989,0.930184
222,0.864043,0.935931
223,0.853512,0.932309
224,0.890086,0.947351
225,0.861627,0.934869
226,0.874511,0.939234
227,0.862744,0.934826
228,0.889803,0.947298
229,0.862286,0.935141
230,0.873404,0.939947
231,0.863372,0.934887
232,0.891933,0.947624
233,0.858546,0.933066
234,0.866295,0.936655
235,0.853241,0.931243
236,0.887614,0.944998
237,0.856822,0.932407
238,0.869549,0.937601
239,0.871002,0.938289
240,0.940184,0.969812
241,0.824916,0.926874
242,0.855399,0.940631
243,0.83255,0.929878
244,0.879692,0.95216
245,0.821108,0.921744
246,0.868611,0.945587
247,0.868153,0.949921
248,0.894066,0.95517
249,0.880003,0.953508
250,0.884227,0.954043
251,0.877826,0.952883
252,0.889788,0.954292
253,0.872961,0.952464
254,0.88103,0.953503
255,0.878294,0.953113
256,0.892767,0.954998
257,0.883271,0.953803
258,0.890698,0.95471
259,0.883493,0.953603
260,0.889344,0.954549
261,0.858792,0.939707
262,0.866807,0.943094
263,0.852887,0.936268
264,0.888761,0.953174
265,0.853103,0.938308
266,0.872976,0.944602
267,0.863526,0.940283
268,0.896857,0.954501
269,0.867097,0.941142
270,0.881301,0.946495
271,0.867338,0.941458
272,0.896889,0.954515
273,0.868736,0.940889
274,0.880832,0.945917
275,0.864354,0.940693
276,0.900052,0.954645
277,0.871813,0.942096
278,0.886888,0.948709
279,0.874915,0.943107
280,0.899955,0.954136
281,0.872043,0.942845
282,0.885617,0.948121
283,0.871211,0.941984
284,0.901367,0.954651
285,0.868929,0.941731
286,0.891623,0.949338
287,0.889086,0.950665
288,0.904819,0.955961
289,0.895488,0.954066
290,0.897414,0.952728
291,0.879143,0.945388
292,0.902666,0.955141
293,0.867545,0.939618
294,0.89027,0.948623
295,0.887371,0.94893
296,0.897329,0.952421
297,0.887154,0.950999
298,0.889035,0.951156
299,0.888448,0.950684
300,0.953257,0.976516
301,0.873538,0.967727
302,0.876391,0.967314
303,0.865621,0.965172
304,0.896966,0.967994
305,0.867261,0.96434
306,0.874711,0.964811
307,0.870139,0.963822
308,0.88382,0.965145
309,0.862762,0.961737
310,0.871099,0.962311
311,0.864775,0.961238
312,0.875615,0.962418
313,0.856178,0.957967
314,0.832285,0.932979
