Frame, eSSIM, SSIM
0,0.963292,0.978399
1,0.897007,0.954167
2,0.908899,0.958847
3,0.89323,0.951871
4,0.925245,0.965344
5,0.895625,0.952248
6,0.910155,0.958799
7,0.893474,0.950512
8,0.929019,0.966571
9,0.911397,0.958325
10,0.916163,0.960265
11,0.918094,0.960754
12,0.936913,0.96968
13,0.917711,0.966851
14,0.920712,0.966655
15,0.915103,0.965576
16,0.918914,0.965538
17,0.90775,0.963911
18,0.909265,0.963986
19,0.905376,0.963298
20,0.915258,0.964378
21,0.908124,0.963407
22,0.909266,0.963839
23,0.903189,0.963006
24,0.918137,0.965075
25,0.89727,0.954904
26,0.906351,0.959818
27,0.891655,0.952854
28,0.931648,0.967964
29,0.903437,0.955069
30,0.921552,0.962883
31,0.909999,0.958951
32,0.940388,0.970146
33,0.919515,0.960596
34,0.929506,0.964356
35,0.921383,0.961227
36,0.94195,0.970299
37,0.922915,0.961575
38,0.931496,0.965154
39,0.925138,0.962168
40,0.942677,0.969899
41,0.922448,0.96082
42,0.931705,0.964588
43,0.922771,0.96091
44,0.941598,0.968865
45,0.923825,0.960533
46,0.932643,0.964526
47,0.924654,0.961396
48,0.942303,0.969092
49,0.922348,0.960158
50,0.931345,0.963886
51,0.92182,0.959959
52,0.939127,0.967648
53,0.921167,0.959475
54,0.928257,0.962882
55,0.920097,0.959284
56,0.938165,0.967088
57,0.919616,0.958914
58,0.929081,0.962347
59,0.928678,0.962114
60,0.97055,0.982248
61,0.923086,0.964272
62,0.931218,0.967457
63,0.921341,0.962754
64,0.946349,0.973037
65,0.917844,0.961913
66,0.936952,0.969333
67,0.927,0.964713
68,0.942054,0.971991
69,0.920621,0.961817
70,0.928704,0.965311
71,0.920216,0.961334
72,0.9398,0.97015
73,0.917291,0.959113
74,0.925684,0.962865
75,0.917899,0.959422
76,0.937899,0.96791
77,0.889393,0.947167
78,0.899504,0.952218
79,0.886555,0.946255
80,0.915758,0.959743
81,0.881321,0.944507
82,0.897312,0.951615
83,0.886106,0.947089
84,0.919891,0.962718
85,0.911457,0.961898
86,0.916312,0.963074
87,0.91412,0.963339
88,0.926331,0.965233
89,0.920092,0.964739
90,0.922909,0.965779
91,0.918923,0.965731
92,0.932051,0.967841
93,0.922128,0.966673
94,0.926171,0.967519
95,0.925682,0.967465
96,0.937666,0.96949
97,0.923664,0.962756
98,0.929393,0.965304
99,0.917474,0.960022
100,0.939121,0.969579
101,0.91935,0.959748
102,0.91971,0.960001
103,0.938618,0.968111
104,0.919603,0.959142
105,0.920189,0.959591
106,0.936478,0.966787
107,0.915543,0.95712
108,0.916191,0.957428
109,0.933874,0.965713
110,0.915316,0.956841
111,0.922045,0.959927
112,0.936354,0.966683
113,0.913412,0.956339
114,0.923334,0.96049
115,0.915521,0.957456
116,0.933294,0.964971
117,0.906096,0.953962
118,0.913975,0.956554
119,0.907578,0.953741
120,0.96331,0.979368
121,0.913203,0.959768
122,0.918625,0.961739
123,0.922499,0.962395
124,0.938933,0.970235
125,0.922792,0.964387
126,0.926056,0.96414
127,0.929089,0.967186
128,0.938535,0.970358
129,0.931008,0.969055
130,0.934539,0.96936
131,0.9286,0.968476
132,0.933683,0.969322
133,0.925206,0.967671
134,0.928211,0.968026
135,0.92427,0.967294
136,0.931063,0.968305
137,0.923652,0.966837
138,0.921031,0.966124
139,0.924012,0.966611
140,0.893385,0.951657
141,0.902749,0.955078
142,0.922034,0.96317
143,0.892457,0.94898
144,0.906338,0.955247
145,0.89195,0.949694
146,0.92159,0.962415
147,0.895797,0.950221
148,0.909383,0.955154
149,0.896335,0.950325
150,0.92161,0.962264
151,0.898722,0.950978
152,0.911886,0.956258
153,0.898367,0.950868
154,0.925314,0.962591
155,0.899287,0.9515
156,0.91147,0.956372
157,0.899093,0.95202
158,0.926985,0.963776
159,0.922243,0.96369
160,0.926521,0.964562
161,0.923084,0.964374
162,0.931916,0.966133
163,0.926693,0.966357
164,0.930218,0.96743
165,0.927273,0.96729
166,0.935884,0.968668
167,0.929879,0.968339
168,0.93315,0.969265
169,0.931595,0.969146
170,0.940296,0.970846
171,0.929848,0.969373
172,0.933588,0.969599
173,0.929484,0.969007
174,0.936924,0.970084
175,0.931032,0.969087
176,0.933119,0.969429
177,0.929126,0.968679
178,0.934191,0.969751
179,0.923962,0.961559
180,0.972176,0.983397
181,0.935551,0.972181
182,0.932522,0.968145
183,0.923913,0.963888
184,0.94712,0.973933
185,0.921519,0.962654
186,0.929433,0.966175
187,0.923595,0.963129
188,0.943146,0.972335
189,0.916686,0.960935
190,0.926379,0.964426
191,0.919458,0.961682
192,0.943364,0.971895
193,0.920921,0.962412
194,0.929833,0.965921
195,0.920808,0.962519
196,0.940664,0.970633
197,0.918539,0.961368
198,0.926673,0.96492
199,0.919648,0.961798
200,0.937148,0.970237
201,0.921079,0.963244
202,0.933582,0.968542
203,0.934874,0.970459
204,0.942358,0.972436
205,0.934959,0.971753
206,0.936519,0.972216
207,0.928377,0.970849
208,0.933887,0.971636
209,0.921923,0.969967
210,0.929109,0.970617
211,0.927488,0.970344
212,0.937834,0.972017
213,0.93082,0.970747
214,0.932625,0.969833
215,0.923661,0.965702
216,0.936723,0.97164
217,0.920114,0.963037
218,0.929368,0.966631
219,0.922542,0.963641
220,0.940821,0.971322
221,0.922143,0.962901
222,0.930004,0.966174
223,0.921619,0.96302
224,0.94171,0.970819
225,0.92224,0.963198
226,0.931263,0.966387
227,0.924346,0.963549
228,0.939454,0.970188
229,0.92331,0.963396
230,0.929699,0.966098
231,0.924701,0.963605
232,0.940057,0.970439
233,0.918402,0.961257
234,0.924706,0.963956
235,0.91607,0.960787
236,0.9366,0.968639
237,0.915916,0.95969
238,0.92551,0.963691
239,0.92741,0.964706
240,0.974388,0.985187
241,0.912921,0.963025
242,0.921246,0.966399
243,0.910958,0.961631
244,0.941206,0.97439
245,0.920242,0.965299
246,0.934262,0.97198
247,0.934605,0.973386
248,0.946922,0.97561
249,0.936014,0.97424
250,0.93912,0.974457
251,0.93431,0.973729
252,0.941542,0.974523
253,0.931495,0.973553
254,0.936346,0.974319
255,0.932103,0.973967
256,0.940285,0.975043
257,0.933713,0.974262
258,0.936792,0.974596
259,0.932203,0.97398
260,0.937997,0.974978
261,0.922094,0.966857
262,0.926848,0.969715
263,0.920546,0.966036
264,0.944004,0.974802
265,0.920797,0.964755
266,0.932287,0.968755
267,0.923999,0.965491
268,0.948571,0.97532
269,0.927822,0.966362
270,0.936667,0.970025
271,0.928986,0.966969
272,0.94817,0.975441
273,0.930966,0.967656
274,0.940653,0.971253
275,0.932666,0.96837
276,0.950618,0.975347
277,0.935192,0.968986
278,0.942254,0.972189
279,0.933833,0.969148
280,0.950911,0.975722
281,0.929326,0.968203
282,0.937229,0.971385
283,0.928462,0.967788
284,0.950002,0.975955
285,0.931027,0.968213
286,0.941669,0.972024
