Frame, eSSIM, SSIM
0,0.779338,0.890195
1,0.613299,0.823203
2,0.645878,0.830711
3,0.620236,0.821678
4,0.685931,0.849014
5,0.615679,0.81785
6,0.654287,0.831524
7,0.62246,0.817526
8,0.682713,0.845067
9,0.650413,0.83396
10,0.664899,0.840964
11,0.671419,0.842511
12,0.693997,0.850767
13,0.674804,0.846004
14,0.675948,0.845968
15,0.669209,0.844049
16,0.68223,0.847343
17,0.665767,0.842438
18,0.666469,0.842513
19,0.667482,0.843154
20,0.682548,0.848789
21,0.673102,0.847063
22,0.677447,0.848196
23,0.674727,0.847175
24,0.695957,0.852121
25,0.644141,0.830495
26,0.659315,0.836897
27,0.631064,0.826147
28,0.704399,0.856158
29,0.643607,0.829939
30,0.668219,0.83892
31,0.645217,0.83174
32,0.720786,0.862208
33,0.654507,0.83497
34,0.683728,0.844746
35,0.658218,0.83743
36,0.725648,0.864328
37,0.661554,0.836811
38,0.69171,0.848124
39,0.674819,0.842821
40,0.729152,0.865141
41,0.655176,0.833403
42,0.685634,0.844144
43,0.666495,0.839276
44,0.725741,0.862016
45,0.665053,0.835683
46,0.688228,0.844679
47,0.679837,0.842065
48,0.729651,0.863608
49,0.670015,0.837709
50,0.692747,0.846333
51,0.670632,0.838611
52,0.732118,0.863787
53,0.664832,0.834949
54,0.685007,0.841621
55,0.670159,0.837816
56,0.727223,0.861827
57,0.659484,0.834212
58,0.691433,0.84488
59,0.708146,0.851288
60,0.829806,0.915447
61,0.684213,0.858769
62,0.704028,0.864103
63,0.683525,0.857796
64,0.760836,0.888558
65,0.665282,0.846621
66,0.728366,0.87477
67,0.698355,0.864091
68,0.758106,0.886775
69,0.658084,0.84274
70,0.6899,0.854481
71,0.667082,0.850599
72,0.745916,0.879713
73,0.631868,0.830975
74,0.663037,0.840356
75,0.64088,0.835135
76,0.715022,0.86317
77,0.615353,0.8196
78,0.619266,0.817168
79,0.611003,0.813978
80,0.656636,0.833126
81,0.60601,0.810591
82,0.62297,0.818652
83,0.644852,0.82964
84,0.661685,0.837722
85,0.658205,0.838323
86,0.666424,0.842048
87,0.670359,0.844921
88,0.683729,0.849436
89,0.68021,0.850477
90,0.691064,0.855603
91,0.694722,0.857896
92,0.714647,0.864016
93,0.70888,0.863488
94,0.715403,0.866041
95,0.710268,0.864916
96,0.732136,0.870939
97,0.67747,0.845046
98,0.69425,0.852117
99,0.666797,0.841767
100,0.730127,0.866906
101,0.668261,0.840619
102,0.678604,0.842889
103,0.722814,0.86272
104,0.665583,0.834746
105,0.67777,0.841035
106,0.727972,0.866128
107,0.667672,0.835711
108,0.67815,0.842001
109,0.728346,0.865918
110,0.672129,0.837937
111,0.690988,0.848397
112,0.731786,0.868731
113,0.645864,0.826554
114,0.665663,0.837598
115,0.659832,0.836514
116,0.702699,0.853101
117,0.643257,0.825137
118,0.653507,0.826437
119,0.658513,0.827067
120,0.782356,0.893353
121,0.632764,0.828508
122,0.655692,0.831918
123,0.690339,0.848285
124,0.715158,0.861095
125,0.698403,0.857351
126,0.688747,0.847741
127,0.689798,0.851817
128,0.711973,0.85971
129,0.695013,0.855826
130,0.700417,0.857046
131,0.69627,0.855757
132,0.709721,0.859055
133,0.695626,0.854991
134,0.700957,0.856688
135,0.696976,0.855533
136,0.711387,0.859429
137,0.694344,0.85486
138,0.690025,0.852757
139,0.708608,0.857303
140,0.607599,0.806438
141,0.657153,0.828082
142,0.678116,0.84354
143,0.617447,0.809738
144,0.627719,0.81412
145,0.627081,0.814996
146,0.671401,0.836941
147,0.61888,0.809742
148,0.629713,0.814376
149,0.630016,0.81503
150,0.671933,0.835375
151,0.618546,0.808053
152,0.626193,0.810475
153,0.623292,0.810577
154,0.670558,0.832344
155,0.623224,0.809395
156,0.628202,0.810993
157,0.634417,0.816836
158,0.689323,0.843309
159,0.68579,0.844513
160,0.693047,0.848011
161,0.69932,0.850973
162,0.713077,0.85624
163,0.710162,0.857842
164,0.710603,0.860249
165,0.713178,0.862151
166,0.727973,0.866444
167,0.714397,0.865665
168,0.723829,0.86918
169,0.722482,0.87053
170,0.752541,0.877301
171,0.733656,0.873677
172,0.742359,0.875013
173,0.734806,0.873699
174,0.751994,0.877363
175,0.730225,0.872718
176,0.741,0.874496
177,0.729234,0.87122
178,0.731785,0.869075
179,0.688849,0.843999
180,0.808254,0.905283
181,0.739745,0.87908
182,0.708804,0.862593
183,0.690452,0.855165
184,0.757142,0.884062
185,0.674593,0.845126
186,0.705768,0.858995
187,0.689724,0.854372
188,0.749207,0.879626
189,0.667991,0.843341
190,0.705257,0.859818
191,0.677749,0.848837
192,0.746079,0.877358
193,0.671789,0.844584
194,0.700543,0.856206
195,0.67948,0.849916
196,0.740385,0.874792
197,0.664858,0.841928
198,0.696658,0.855961
199,0.681593,0.849711
200,0.744233,0.875731
201,0.67124,0.84585
202,0.718666,0.864875
203,0.729967,0.874296
204,0.749185,0.88093
205,0.733275,0.878719
206,0.743602,0.881175
207,0.739148,0.880777
208,0.752935,0.882779
209,0.73717,0.879876
210,0.738781,0.87986
211,0.736511,0.880084
212,0.754886,0.884766
213,0.737082,0.880048
214,0.733275,0.875414
215,0.702836,0.861457
216,0.754963,0.883576
217,0.694006,0.85525
218,0.72198,0.86522
219,0.70045,0.859449
220,0.756941,0.881964
221,0.695988,0.854498
222,0.723558,0.865145
223,0.702719,0.859836
224,0.757582,0.881637
225,0.70488,0.861289
226,0.730674,0.87027
227,0.711065,0.864571
228,0.762451,0.88458
229,0.705598,0.861064
230,0.734814,0.871268
231,0.710682,0.864474
232,0.757931,0.88379
233,0.688402,0.854561
234,0.715859,0.863498
235,0.689652,0.855345
236,0.748654,0.877215
237,0.686162,0.849852
238,0.701664,0.856885
239,0.716506,0.861835
240,0.830355,0.921267
241,0.65083,0.84199
242,0.680672,0.853199
243,0.649569,0.839592
244,0.736703,0.884414
245,0.671828,0.851542
246,0.70987,0.868004
247,0.715232,0.876955
248,0.744709,0.887191
249,0.732362,0.885461
250,0.735862,0.88621
251,0.728945,0.884905
252,0.750146,0.888705
253,0.731978,0.885677
254,0.74054,0.887419
255,0.735263,0.886441
256,0.751941,0.890462
257,0.741941,0.888964
258,0.750535,0.890685
259,0.740046,0.888088
260,0.759391,0.892481
261,0.697453,0.863139
262,0.727545,0.876278
263,0.702575,0.865405
264,0.758465,0.890583
265,0.698856,0.861897
266,0.722751,0.874483
267,0.70343,0.866277
268,0.761349,0.892895
269,0.701867,0.864972
270,0.734205,0.879634
271,0.719442,0.8722
272,0.760534,0.891668
273,0.70064,0.86546
274,0.729021,0.877567
275,0.7045,0.868688
276,0.757737,0.890704
277,0.708185,0.866835
278,0.733084,0.878562
279,0.716028,0.871718
280,0.762839,0.892116
281,0.714752,0.870874
282,0.730309,0.878761
283,0.703638,0.868783
284,0.762256,0.892869
285,0.691513,0.858704
286,0.746722,0.881999
287,0.747921,0.887593
288,0.774885,0.896333
289,0.750293,0.890386
290,0.752487,0.887859
291,0.716881,0.870084
292,0.767404,0.892959
293,0.681791,0.852109
294,0.747601,0.880625
295,0.750355,0.885318
296,0.766335,0.890515
297,0.742609,0.886096
298,0.754086,0.887647
299,0.761348,0.889239
300,0.86004,0.935536
301,0.776107,0.92365
