Frame, eSSIM, SSIM
0,0.779298,0.899755
1,0.748081,0.878286
2,0.749054,0.880987
3,0.770237,0.892445
4,0.745341,0.876961
5,0.746385,0.877191
6,0.766004,0.891303
7,0.750837,0.881813
8,0.762387,0.889157
9,0.747705,0.880428
10,0.770733,0.894346
11,0.751247,0.882004
12,0.766643,0.892183
13,0.76362,0.893378
14,0.776494,0.898958
15,0.771654,0.898355
16,0.775407,0.898924
17,0.773806,0.8984
18,0.776522,0.899415
19,0.772354,0.898764
20,0.780806,0.902964
21,0.779934,0.902757
22,0.784523,0.904229
23,0.777943,0.902095
24,0.780894,0.901257
25,0.774405,0.900946
26,0.785688,0.906408
27,0.774281,0.896362
28,0.776846,0.89947
29,0.789093,0.908798
30,0.77883,0.89999
31,0.781408,0.900112
32,0.788575,0.907684
33,0.775695,0.896884
34,0.776366,0.897307
35,0.786438,0.904894
36,0.770761,0.894508
37,0.777532,0.896354
38,0.78484,0.902518
39,0.768006,0.892925
40,0.775484,0.89606
41,0.785128,0.903104
42,0.7729,0.893839
43,0.777381,0.897185
44,0.785713,0.903331
45,0.773138,0.89424
46,0.77798,0.898123
47,0.78666,0.904553
48,0.775279,0.896426
49,0.777833,0.898281
50,0.785914,0.904031
51,0.773948,0.895066
52,0.777471,0.897035
53,0.785561,0.903027
54,0.77529,0.894755
55,0.780548,0.897557
56,0.786054,0.903377
57,0.776482,0.895677
58,0.779511,0.898163
59,0.787318,0.90437
60,0.806569,0.925588
61,0.778037,0.904689
62,0.779642,0.903856
63,0.77522,0.900147
64,0.794744,0.916026
65,0.783022,0.906087
66,0.787347,0.909657
67,0.782489,0.905215
68,0.792594,0.91424
69,0.781134,0.902104
70,0.785569,0.906003
71,0.777838,0.899948
72,0.793724,0.911182
73,0.776016,0.897953
74,0.776876,0.898689
75,0.788525,0.907892
76,0.772943,0.896046
77,0.775097,0.897373
78,0.787351,0.905772
79,0.75709,0.885431
80,0.760889,0.889431
81,0.77605,0.899954
82,0.760877,0.887133
83,0.766599,0.893571
84,0.768036,0.896733
85,0.776654,0.902042
86,0.77308,0.901269
87,0.777643,0.903004
88,0.774882,0.902382
89,0.781027,0.904077
90,0.776905,0.903625
91,0.781855,0.905047
92,0.778422,0.904382
93,0.781263,0.905614
94,0.776164,0.90405
95,0.779046,0.903529
96,0.772501,0.898525
97,0.788024,0.908491
98,0.779097,0.902326
99,0.778071,0.898444
100,0.786177,0.90712
101,0.775176,0.897768
102,0.772895,0.897527
103,0.785159,0.905147
104,0.771945,0.894847
105,0.775082,0.894851
106,0.783007,0.903558
107,0.768846,0.892913
108,0.774532,0.895994
109,0.781604,0.903171
110,0.769857,0.893204
111,0.772786,0.896001
112,0.781019,0.902772
113,0.76772,0.892415
114,0.772636,0.895569
115,0.779897,0.901777
116,0.770326,0.893206
117,0.770945,0.895069
118,0.77842,0.900577
119,0.773025,0.89547
120,0.793062,0.919143
121,0.769579,0.898561
122,0.777119,0.901366
123,0.787399,0.910091
124,0.781018,0.906605
125,0.775415,0.900672
126,0.785403,0.908537
127,0.777151,0.905949
128,0.779614,0.906831
129,0.776605,0.905679
130,0.783409,0.90762
131,0.776582,0.905454
132,0.778987,0.905786
133,0.774982,0.904611
134,0.781309,0.906078
135,0.77342,0.90383
136,0.778004,0.90481
137,0.772903,0.903375
138,0.778736,0.904271
139,0.761894,0.891333
140,0.750449,0.884141
141,0.771551,0.898935
142,0.765127,0.894151
143,0.759726,0.889233
144,0.772366,0.899927
145,0.754595,0.884149
146,0.758651,0.88761
147,0.778283,0.900169
148,0.761745,0.887136
149,0.768771,0.892501
150,0.779067,0.900451
151,0.763767,0.888497
152,0.768466,0.891884
153,0.779147,0.899508
154,0.762499,0.887516
155,0.769985,0.892493
156,0.781163,0.901526
157,0.764861,0.888816
158,0.776939,0.899619
