Frame, eSSIM, SSIM
0,0.797069,0.918333
1,0.784691,0.905752
2,0.78142,0.905189
3,0.793649,0.913028
4,0.779297,0.903847
5,0.781673,0.90484
6,0.789283,0.91214
7,0.780972,0.906865
8,0.78824,0.909347
9,0.780927,0.905376
10,0.792364,0.913138
11,0.783767,0.908389
12,0.78986,0.912654
13,0.787431,0.912314
14,0.792964,0.915426
15,0.788529,0.914772
16,0.791981,0.91525
17,0.791196,0.914711
18,0.79364,0.916034
19,0.790647,0.915502
20,0.797299,0.918931
21,0.79827,0.918781
22,0.800186,0.919731
23,0.795684,0.918083
24,0.797508,0.917151
25,0.793845,0.917624
26,0.799133,0.920275
27,0.793847,0.913494
28,0.791772,0.913405
29,0.79958,0.920964
30,0.794963,0.914703
31,0.79652,0.914458
32,0.799607,0.920073
33,0.79466,0.913722
34,0.794419,0.913118
35,0.799646,0.918587
36,0.792031,0.912674
37,0.797023,0.914059
38,0.800291,0.917696
39,0.789722,0.911861
40,0.794025,0.91354
41,0.800285,0.918129
42,0.793007,0.91127
43,0.794582,0.912933
44,0.79926,0.917446
45,0.79153,0.911189
46,0.793004,0.912754
47,0.798226,0.917289
48,0.791585,0.911519
49,0.794283,0.912701
50,0.799115,0.917226
51,0.792775,0.911833
52,0.794532,0.912961
53,0.799388,0.916974
54,0.794042,0.911492
55,0.79733,0.913347
56,0.799906,0.917517
57,0.794915,0.912524
58,0.797136,0.914243
59,0.800943,0.918642
60,0.810081,0.931982
61,0.796542,0.919668
62,0.797804,0.919833
63,0.79544,0.918158
64,0.803345,0.925103
65,0.798743,0.92007
66,0.800525,0.921901
67,0.798398,0.919337
68,0.8016,0.923434
69,0.79879,0.916833
70,0.799787,0.918616
71,0.796728,0.915783
72,0.804505,0.921305
73,0.794886,0.913816
74,0.795557,0.913111
75,0.800664,0.919254
76,0.791268,0.911971
77,0.793064,0.911658
78,0.801455,0.918222
79,0.785277,0.906846
80,0.782971,0.907561
81,0.792744,0.914698
82,0.786691,0.908291
83,0.786676,0.910717
84,0.788167,0.911618
85,0.792837,0.915511
86,0.791092,0.915042
87,0.793397,0.916185
88,0.7917,0.915729
89,0.795448,0.917017
90,0.792168,0.916443
91,0.79563,0.917408
92,0.794169,0.916948
93,0.795263,0.918112
94,0.79199,0.91723
95,0.793888,0.91708
96,0.791315,0.914528
97,0.797935,0.919091
98,0.792412,0.915306
99,0.79268,0.912352
100,0.795804,0.917678
101,0.788797,0.91123
102,0.786534,0.910972
103,0.795947,0.916714
104,0.788012,0.910088
105,0.790828,0.910296
106,0.794132,0.915507
107,0.785623,0.908744
108,0.79026,0.911307
109,0.793288,0.915527
110,0.787471,0.908747
111,0.787222,0.909983
112,0.791877,0.914561
113,0.78455,0.907996
114,0.787101,0.908963
115,0.791083,0.913618
116,0.785797,0.907667
117,0.785314,0.908612
118,0.790161,0.91269
119,0.785896,0.908589
120,0.797946,0.927552
121,0.78576,0.912667
122,0.790504,0.914735
123,0.797701,0.92126
124,0.794562,0.918986
125,0.790983,0.916059
126,0.796129,0.919749
127,0.791149,0.9177
128,0.792913,0.918631
129,0.790991,0.917876
130,0.795384,0.91947
131,0.793098,0.918683
132,0.79452,0.919178
133,0.792885,0.918439
134,0.796215,0.919519
135,0.791796,0.91812
136,0.794438,0.918988
137,0.790903,0.917909
138,0.794763,0.918504
139,0.788261,0.91311
140,0.778648,0.905224
141,0.78961,0.914606
142,0.788443,0.912774
143,0.786865,0.909901
144,0.79063,0.914813
145,0.781788,0.905779
146,0.783408,0.906547
147,0.793387,0.914105
148,0.784227,0.905941
149,0.787167,0.90818
150,0.792354,0.913359
151,0.785538,0.907101
152,0.786515,0.90831
153,0.792819,0.913002
154,0.78457,0.90548
155,0.788142,0.908314
156,0.794656,0.914379
157,0.787314,0.908505
158,0.791725,0.913131
159,0.792711,0.915648
160,0.790467,0.915484
161,0.793015,0.916466
162,0.793861,0.916708
163,0.796007,0.917786
164,0.793136,0.917907
165,0.795397,0.918851
166,0.795407,0.91818
167,0.795298,0.919342
168,0.794463,0.919617
169,0.796398,0.920919
170,0.795736,0.920964
171,0.798239,0.921853
172,0.79509,0.92089
173,0.796857,0.921789
174,0.793551,0.920713
175,0.798138,0.922063
176,0.794809,0.920932
177,0.79352,0.920665
178,0.790327,0.916353
179,0.791563,0.913478
180,0.802313,0.929449
181,0.797603,0.923598
182,0.795138,0.919355
183,0.796939,0.923114
184,0.793616,0.915877
185,0.796116,0.917078
186,0.799995,0.922149
187,0.793612,0.9155
188,0.794498,0.917468
189,0.796734,0.921785
190,0.789352,0.915379
191,0.792227,0.917299
192,0.79777,0.921692
193,0.790742,0.915725
194,0.794279,0.917354
195,0.796475,0.921437
196,0.791113,0.915406
197,0.793479,0.91694
198,0.796573,0.921219
199,0.789057,0.91539
200,0.792775,0.917129
201,0.795747,0.921877
202,0.793261,0.919987
203,0.794529,0.922375
204,0.792912,0.922376
205,0.794663,0.923311
206,0.793659,0.922922
207,0.793618,0.922639
208,0.791445,0.921107
209,0.794569,0.922232
210,0.792412,0.920956
211,0.793795,0.922065
212,0.794446,0.921935
213,0.797821,0.923669
214,0.794701,0.921044
215,0.791864,0.919198
216,0.796841,0.922074
217,0.794455,0.916613
218,0.790565,0.916405
219,0.798451,0.921951
220,0.792956,0.915948
221,0.794446,0.917057
222,0.798925,0.921358
223,0.793182,0.915847
224,0.795685,0.917286
225,0.798241,0.920116
226,0.79082,0.915132
227,0.794787,0.91702
228,0.799561,0.920467
229,0.790528,0.914997
230,0.794611,0.916671
231,0.799914,0.920175
232,0.793533,0.914514
233,0.793031,0.91582
234,0.794694,0.918614
235,0.790241,0.913991
236,0.790636,0.914225
237,0.793339,0.917531
238,0.787946,0.914647
239,0.788832,0.913233
240,0.799968,0.93219
241,0.788202,0.917915
242,0.792569,0.919788
243,0.794147,0.924651
244,0.79199,0.918165
245,0.794467,0.92161
246,0.792035,0.921407
247,0.795223,0.923209
248,0.793106,0.922407
249,0.793795,0.922661
250,0.792673,0.92202
251,0.796294,0.923051
252,0.792838,0.922345
253,0.793538,0.922883
254,0.793965,0.922855
255,0.79636,0.923799
256,0.793891,0.923232
257,0.795758,0.92388
258,0.794704,0.923454
259,0.796006,0.924133
260,0.791545,0.920172
261,0.787597,0.917876
262,0.795272,0.923101
263,0.788374,0.916953
264,0.789171,0.917102
265,0.796163,0.922512
266,0.788485,0.916115
267,0.789588,0.916932
268,0.797062,0.922974
269,0.785988,0.916183
270,0.790413,0.918813
271,0.788376,0.916464
272,0.795125,0.923082
273,0.792197,0.918391
274,0.791923,0.918927
275,0.798076,0.924369
276,0.791741,0.919164
277,0.791754,0.919432
278,0.79712,0.924122
279,0.790419,0.918436
280,0.79254,0.919049
281,0.796283,0.923709
282,0.792543,0.918502
283,0.794704,0.91997
284,0.798128,0.923858
285,0.791455,0.919282
286,0.793351,0.921058
287,0.79553,0.92439
288,0.790565,0.922764
289,0.794407,0.923754
290,0.79599,0.923765
291,0.799552,0.925001
292,0.788046,0.916758
293,0.789684,0.916251
294,0.798381,0.922726
295,0.795682,0.92214
296,0.795411,0.921935
297,0.795521,0.921618
298,0.796488,0.922599
299,0.79658,0.923072
300,0.799962,0.934455
301,0.791248,0.929989
302,0.792519,0.928811
303,0.790923,0.927839
304,0.795023,0.929055
305,0.792878,0.927756
306,0.793755,0.928466
307,0.793154,0.927817
308,0.796814,0.928714
309,0.793217,0.927623
310,0.792379,0.927592
311,0.795166,0.928764
312,0.797173,0.929019
