Frame, eSSIM, SSIM
0,0.650283,0.821572
1,0.586582,0.793964
2,0.593511,0.795321
3,0.629274,0.810642
4,0.590554,0.792866
5,0.598546,0.797404
6,0.62979,0.810705
7,0.593563,0.795316
8,0.625563,0.811275
9,0.605759,0.803616
10,0.635068,0.814762
11,0.609574,0.80515
12,0.624522,0.811526
13,0.629511,0.815155
14,0.647297,0.82111
15,0.636572,0.818814
16,0.639102,0.818893
17,0.635178,0.818223
18,0.647165,0.821204
19,0.641361,0.819711
20,0.652663,0.826469
21,0.649426,0.826542
22,0.66276,0.829852
23,0.649113,0.82398
24,0.646848,0.821008
25,0.65046,0.825677
26,0.675121,0.835427
27,0.634469,0.817239
28,0.653351,0.824735
29,0.684875,0.839721
30,0.643827,0.820712
31,0.654324,0.824346
32,0.683358,0.838991
33,0.642609,0.82017
34,0.64584,0.821338
35,0.678562,0.836144
36,0.631881,0.815299
37,0.657404,0.824531
38,0.674727,0.833817
39,0.6378,0.816637
40,0.65346,0.823296
41,0.678475,0.835597
42,0.632434,0.815352
43,0.661089,0.82597
44,0.685008,0.837531
45,0.651367,0.821622
46,0.664257,0.828367
47,0.685004,0.838312
48,0.649758,0.820642
49,0.666522,0.828168
50,0.687171,0.83879
51,0.636465,0.815195
52,0.661631,0.824849
53,0.683726,0.835868
54,0.632259,0.812113
55,0.653539,0.821675
56,0.681632,0.835628
57,0.633269,0.81622
58,0.658315,0.825315
59,0.679193,0.836473
60,0.752999,0.877838
61,0.670879,0.839759
62,0.680994,0.843432
63,0.684149,0.845196
64,0.723153,0.864368
65,0.674726,0.840859
66,0.699311,0.853601
67,0.674217,0.842041
68,0.71625,0.86235
69,0.666326,0.836079
70,0.679974,0.842788
71,0.660625,0.834758
72,0.70841,0.855627
73,0.639893,0.822553
74,0.654448,0.828578
75,0.695497,0.848323
76,0.63945,0.821727
77,0.655117,0.829061
78,0.689487,0.845037
79,0.627703,0.813992
80,0.634104,0.819425
81,0.674936,0.836538
82,0.618697,0.810687
83,0.651692,0.82411
84,0.66388,0.832297
85,0.679247,0.840004
86,0.672735,0.838687
87,0.677523,0.840987
88,0.673767,0.840212
89,0.67956,0.841555
90,0.677467,0.841871
91,0.682094,0.843615
92,0.677976,0.84334
93,0.690555,0.84665
94,0.682214,0.843614
95,0.676992,0.839548
96,0.652026,0.827333
97,0.698436,0.849504
98,0.676781,0.837348
99,0.657342,0.828422
100,0.699285,0.847603
101,0.656614,0.826395
102,0.660734,0.827662
103,0.698201,0.845974
104,0.669134,0.8302
105,0.66689,0.831125
106,0.695329,0.844885
107,0.653328,0.824495
108,0.671328,0.833126
109,0.692506,0.843829
110,0.661906,0.828339
111,0.66827,0.831797
112,0.692393,0.843471
113,0.65453,0.824956
114,0.669034,0.831815
115,0.686443,0.840679
116,0.646125,0.820203
117,0.660959,0.827136
118,0.679227,0.837008
119,0.661925,0.827464
120,0.710369,0.855664
121,0.620462,0.812401
122,0.653921,0.824508
123,0.686216,0.843524
124,0.670607,0.83837
125,0.666123,0.833305
126,0.689469,0.843816
127,0.677301,0.840896
128,0.682898,0.842466
129,0.679877,0.841762
130,0.687451,0.843169
131,0.673886,0.839628
132,0.678877,0.840243
133,0.673405,0.838648
134,0.683457,0.840994
135,0.67388,0.838406
136,0.675575,0.838767
137,0.670555,0.837501
138,0.676836,0.837668
139,0.656303,0.824978
140,0.613004,0.802918
141,0.669874,0.833663
142,0.660553,0.830219
143,0.64396,0.821842
144,0.670567,0.835084
145,0.617339,0.805678
146,0.639479,0.817111
147,0.677971,0.835712
148,0.624213,0.807717
149,0.652453,0.821021
150,0.677828,0.835528
151,0.635967,0.811555
152,0.651337,0.820378
153,0.679239,0.83381
154,0.629691,0.809421
155,0.661922,0.825252
156,0.685384,0.838374
157,0.630765,0.810442
158,0.675361,0.831855
159,0.687068,0.838679
160,0.684529,0.838424
161,0.687763,0.840067
162,0.689,0.841508
163,0.693272,0.843122
164,0.690683,0.843323
165,0.692864,0.844848
166,0.689973,0.844571
167,0.701269,0.847746
168,0.692735,0.846824
169,0.705566,0.850759
170,0.700581,0.850477
171,0.711848,0.853591
172,0.699208,0.84999
173,0.705876,0.851894
174,0.699917,0.850429
175,0.709147,0.852659
176,0.699676,0.850346
177,0.697143,0.849557
178,0.689151,0.841794
179,0.67359,0.832111
180,0.7235,0.860063
181,0.676639,0.838724
182,0.666562,0.833921
183,0.697123,0.848368
184,0.644436,0.821612
185,0.66542,0.832618
186,0.696502,0.848556
187,0.647832,0.824132
188,0.668522,0.834811
189,0.69847,0.850274
190,0.648441,0.826035
191,0.667922,0.83633
192,0.695964,0.848977
193,0.645257,0.824597
194,0.669733,0.836548
195,0.692208,0.848123
196,0.648292,0.826005
197,0.670489,0.837164
198,0.693513,0.848638
199,0.651565,0.8283
200,0.669903,0.837347
201,0.697875,0.85191
202,0.671277,0.840781
203,0.68921,0.848686
204,0.692364,0.8516
205,0.703233,0.855497
206,0.694094,0.853722
207,0.69745,0.854007
208,0.692343,0.852062
209,0.701172,0.853909
210,0.688078,0.849519
211,0.696195,0.851613
212,0.687429,0.850014
213,0.702512,0.853713
214,0.684807,0.846489
215,0.676546,0.840986
216,0.699106,0.851286
217,0.658288,0.830275
218,0.673074,0.839065
219,0.702553,0.852324
220,0.660183,0.830772
221,0.67581,0.839098
222,0.705899,0.853218
223,0.66875,0.834223
224,0.69467,0.845967
225,0.709323,0.854389
226,0.671142,0.837395
227,0.697974,0.849156
228,0.711383,0.856185
229,0.676087,0.840605
230,0.700441,0.849994
231,0.710305,0.855877
232,0.669204,0.836518
233,0.693107,0.846208
234,0.704465,0.853583
235,0.666686,0.835361
236,0.678475,0.840105
237,0.697097,0.849873
238,0.672523,0.837095
239,0.676006,0.840045
240,0.73983,0.875663
241,0.643502,0.826203
242,0.671827,0.841961
243,0.707904,0.860679
244,0.63298,0.819226
245,0.689186,0.848301
246,0.688271,0.853149
247,0.707825,0.860285
248,0.69851,0.858671
249,0.703597,0.860035
250,0.696835,0.858007
251,0.706832,0.860464
252,0.695788,0.857421
253,0.6995,0.858583
254,0.695846,0.857497
255,0.707564,0.860304
256,0.695107,0.857952
257,0.702374,0.859512
258,0.694653,0.858435
259,0.707232,0.860715
260,0.676558,0.844948
261,0.665226,0.839649
262,0.703456,0.858026
263,0.65871,0.835701
264,0.671208,0.841926
265,0.703564,0.85776
266,0.66444,0.836664
267,0.677573,0.843571
268,0.704593,0.858899
269,0.673703,0.843487
270,0.692815,0.852165
271,0.679409,0.844693
272,0.707067,0.859963
273,0.668798,0.839943
274,0.688567,0.850771
275,0.711716,0.863004
276,0.681237,0.846603
277,0.688477,0.850676
278,0.71351,0.862599
279,0.6843,0.847166
280,0.694778,0.852099
281,0.713226,0.862367
282,0.683097,0.84702
283,0.697642,0.854229
284,0.717061,0.863691
285,0.675957,0.841715
286,0.701233,0.854903
287,0.716646,0.863064
288,0.70189,0.859816
289,0.704423,0.860288
290,0.700576,0.859607
291,0.71249,0.86236
292,0.650687,0.828337
293,0.673364,0.839812
294,0.705361,0.856558
295,0.692976,0.854104
296,0.697771,0.855096
297,0.692077,0.85434
298,0.701137,0.856442
299,0.705715,0.858478
300,0.751666,0.885838
301,0.721413,0.878506
302,0.717703,0.876163
303,0.70993,0.874227
304,0.722053,0.876364
305,0.702232,0.871874
306,0.707974,0.872536
307,0.703183,0.871644
308,0.715297,0.873832
309,0.694334,0.870003
310,0.70097,0.870663
311,0.693692,0.86979
312,0.709374,0.872627
313,0.695014,0.869099
314,0.690438,0.860228
315,0.698942,0.870453
316,0.705642,0.872195
317,0.691479,0.868015
318,0.683833,0.865112
319,0.686593,0.865091
320,0.700628,0.868579
321,0.686065,0.865793
322,0.682766,0.864805
323,0.698303,0.868335
324,0.612674,0.811439
325,0.64817,0.834138
326,0.691051,0.856666
327,0.631683,0.818882
328,0.646234,0.828957
329,0.698184,0.855964
330,0.646661,0.827895
331,0.668981,0.840325
332,0.691019,0.8516
333,0.663208,0.837378
334,0.689058,0.850919
335,0.665345,0.836338
336,0.686022,0.846762
337,0.656841,0.828826
338,0.685659,0.844977
339,0.666175,0.833564
340,0.685781,0.843063
341,0.661313,0.828949
342,0.683412,0.841343
343,0.655764,0.827564
344,0.684386,0.840949
345,0.654676,0.825813
346,0.655082,0.826525
347,0.684326,0.840209
348,0.633289,0.816246
349,0.660625,0.826878
350,0.681585,0.838169
351,0.628801,0.812363
352,0.646351,0.819364
353,0.678915,0.83544
354,0.629567,0.812286
355,0.659301,0.825823
356,0.685164,0.838979
357,0.634028,0.815936
358,0.661375,0.826415
359,0.684927,0.838587
360,0.729699,0.864055
361,0.63762,0.823767
362,0.700319,0.849364
363,0.716035,0.85764
364,0.641011,0.823914
365,0.699196,0.849739
366,0.707107,0.854085
367,0.65559,0.826315
368,0.689608,0.843297
369,0.704497,0.850072
370,0.646223,0.819601
371,0.666719,0.829222
372,0.695412,0.844518
373,0.640252,0.816278
374,0.660627,0.826515
375,0.690487,0.840803
376,0.631796,0.810319
377,0.657879,0.823025
378,0.679868,0.834461
379,0.634476,0.810382
380,0.6729,0.830928
381,0.625077,0.806799
382,0.667951,0.828039
383,0.62738,0.806423
384,0.666528,0.826762
385,0.614815,0.799416
386,0.63762,0.809848
387,0.662583,0.823317
388,0.621603,0.800629
389,0.654435,0.819027
390,0.60761,0.795224
391,0.65806,0.823947
392,0.604904,0.797165
393,0.660694,0.825285
394,0.618897,0.802678
395,0.659986,0.825174
396,0.62669,0.808038
397,0.640233,0.81522
398,0.66155,0.826865
399,0.656578,0.825479
400,0.661375,0.826677
401,0.653245,0.824758
402,0.661112,0.826642
403,0.654289,0.825392
404,0.659238,0.826813
405,0.653878,0.825421
406,0.666362,0.828663
407,0.652905,0.824517
408,0.658987,0.825893
409,0.65145,0.82364
410,0.663007,0.827064
411,0.636665,0.812883
412,0.657138,0.823369
413,0.60931,0.79864
414,0.655987,0.820733
415,0.607743,0.797947
416,0.647276,0.818317
417,0.611025,0.801776
418,0.647731,0.816859
419,0.62829,0.805867
420,0.700198,0.8454
421,0.644904,0.822261
422,0.683144,0.840837
423,0.624728,0.814988
424,0.679861,0.83923
425,0.625162,0.81291
426,0.635239,0.817893
427,0.675873,0.838184
428,0.627707,0.815033
429,0.649853,0.824092
430,0.675157,0.836253
431,0.631436,0.817594
432,0.674105,0.835086
433,0.622368,0.810099
434,0.633326,0.814078
435,0.669639,0.832822
436,0.609336,0.806734
437,0.629764,0.813229
438,0.660789,0.827896
439,0.610416,0.804332
440,0.615241,0.806685
441,0.655874,0.825335
442,0.604987,0.800864
443,0.620192,0.807062
444,0.651261,0.822513
445,0.59632,0.797036
446,0.618532,0.805905
447,0.654328,0.822129
448,0.60437,0.798211
449,0.624354,0.806915
450,0.650101,0.81941
451,0.602906,0.797935
452,0.616729,0.803328
453,0.64961,0.817528
454,0.603507,0.796687
455,0.621232,0.803262
456,0.647654,0.817147
457,0.605945,0.794228
458,0.62965,0.806436
459,0.651603,0.818528
460,0.613986,0.799285
461,0.633334,0.808072
462,0.659019,0.822858
463,0.62832,0.806501
464,0.66358,0.825579
465,0.631993,0.807157
466,0.639242,0.812157
467,0.672079,0.829197
468,0.633088,0.809862
469,0.640623,0.814006
470,0.671358,0.829989
471,0.63023,0.810804
472,0.642989,0.817154
473,0.668919,0.82896
474,0.639376,0.814983
475,0.650798,0.819818
476,0.669317,0.828246
477,0.639966,0.814218
478,0.651713,0.819768
479,0.665953,0.826807
480,0.714554,0.856255
481,0.639619,0.819872
482,0.677183,0.837469
483,0.690919,0.844102
484,0.634453,0.815545
485,0.675191,0.833157
486,0.685871,0.840206
487,0.631865,0.812466
488,0.671427,0.829915
489,0.677143,0.836551
490,0.624409,0.809049
