Frame, eSSIM, SSIM
0,0.804281,0.930909
1,0.800629,0.923749
2,0.796201,0.922639
3,0.804699,0.927619
4,0.795911,0.92238
5,0.797418,0.922537
6,0.800834,0.927012
7,0.795587,0.922532
8,0.801644,0.92491
9,0.797069,0.923099
10,0.802676,0.926906
11,0.798551,0.926444
12,0.801773,0.927201
13,0.800017,0.926906
14,0.801458,0.927923
15,0.798783,0.927567
16,0.801689,0.928004
17,0.801972,0.927523
18,0.80184,0.928324
19,0.80042,0.928017
20,0.805817,0.930985
21,0.807473,0.930779
22,0.807414,0.931142
23,0.804337,0.929917
24,0.806202,0.929448
25,0.80209,0.929014
26,0.805392,0.930471
27,0.804526,0.926252
28,0.802162,0.926127
29,0.804339,0.929818
30,0.803269,0.925723
31,0.804899,0.925842
32,0.804966,0.929253
33,0.80458,0.925267
34,0.803708,0.924735
35,0.805772,0.928575
36,0.801745,0.924317
37,0.805349,0.924873
38,0.807129,0.927995
39,0.799612,0.923959
40,0.802907,0.925164
41,0.806261,0.928396
42,0.803825,0.924287
43,0.803762,0.924853
44,0.805802,0.928073
45,0.801623,0.923874
46,0.802049,0.924764
47,0.804853,0.927836
48,0.801991,0.924219
49,0.803347,0.924771
50,0.805754,0.927993
51,0.802319,0.924045
52,0.80313,0.92494
53,0.805829,0.927769
54,0.804218,0.923795
55,0.806087,0.924982
56,0.80578,0.928077
57,0.805094,0.924508
58,0.80568,0.925483
59,0.806699,0.928845
60,0.811986,0.936442
61,0.805408,0.929763
62,0.806081,0.929587
63,0.80485,0.928941
64,0.808178,0.932586
65,0.80746,0.929009
66,0.807626,0.930974
67,0.806947,0.930533
68,0.807349,0.931672
69,0.808814,0.928041
70,0.808448,0.929023
71,0.806528,0.927016
72,0.811394,0.930498
73,0.805824,0.925802
74,0.80667,0.925643
75,0.808073,0.929386
76,0.803495,0.925156
77,0.804424,0.924849
78,0.808869,0.928942
79,0.797819,0.921105
80,0.795276,0.920754
81,0.800071,0.925712
82,0.798225,0.921789
83,0.796804,0.922939
84,0.799483,0.925425
85,0.800284,0.926637
86,0.800649,0.926861
87,0.801686,0.927588
88,0.801006,0.92725
89,0.802716,0.92815
90,0.801191,0.927812
91,0.80356,0.92839
92,0.803077,0.92818
93,0.802606,0.928835
94,0.800418,0.928131
95,0.802387,0.928175
96,0.800898,0.927023
97,0.80371,0.928397
98,0.800864,0.927105
99,0.801955,0.92363
100,0.801257,0.92686
101,0.798038,0.922662
102,0.7956,0.92244
103,0.801966,0.926648
104,0.797524,0.922219
105,0.800006,0.92261
106,0.80038,0.926052
107,0.796001,0.921857
108,0.798972,0.92312
109,0.799626,0.926113
110,0.798305,0.922329
111,0.796722,0.922945
112,0.798927,0.925967
113,0.796124,0.921965
114,0.797928,0.922658
115,0.798604,0.925451
116,0.798234,0.921741
117,0.796311,0.922177
118,0.797989,0.92491
119,0.796156,0.92183
120,0.80005,0.932057
121,0.795948,0.924971
122,0.798653,0.925292
123,0.802836,0.929144
124,0.801826,0.927951
125,0.798876,0.926691
126,0.801877,0.928451
127,0.800753,0.927802
128,0.800453,0.92825
129,0.800427,0.927978
130,0.801347,0.928581
131,0.800368,0.927966
132,0.801294,0.928401
133,0.800655,0.928
134,0.802365,0.928708
135,0.800005,0.927856
136,0.801259,0.928312
137,0.798417,0.927637
138,0.801362,0.927984
139,0.798938,0.926529
140,0.790274,0.918441
141,0.797551,0.925831
142,0.799038,0.925589
143,0.79805,0.923091
144,0.799426,0.926429
145,0.796525,0.92224
146,0.797139,0.921913
147,0.802013,0.925856
148,0.798572,0.921631
149,0.799194,0.922019
150,0.801389,0.924899
151,0.798636,0.921469
152,0.798294,0.922072
153,0.801376,0.925157
154,0.798311,0.921171
155,0.79983,0.922535
156,0.802798,0.926197
157,0.799455,0.923108
158,0.801258,0.926641
159,0.799862,0.927226
160,0.799473,0.927253
161,0.800856,0.927687
162,0.802107,0.927884
163,0.802873,0.928648
164,0.800916,0.928834
165,0.802122,0.929244
166,0.803,0.928792
167,0.801083,0.929319
168,0.801337,0.929548
169,0.802101,0.930223
170,0.802067,0.930372
171,0.802839,0.930718
172,0.800945,0.930139
173,0.801667,0.9306
174,0.799567,0.930011
175,0.802711,0.93093
176,0.801273,0.930337
177,0.800057,0.930246
178,0.795573,0.925778
179,0.799401,0.924898
180,0.804422,0.934734
181,0.803426,0.932637
182,0.801399,0.928461
183,0.801245,0.930632
184,0.802296,0.927069
185,0.803508,0.92761
186,0.805009,0.930536
187,0.802545,0.927103
188,0.801975,0.927676
189,0.801844,0.930586
190,0.798514,0.927047
191,0.799648,0.927875
192,0.802983,0.930713
193,0.799236,0.92701
194,0.801884,0.928205
195,0.801977,0.930504
196,0.800716,0.92733
197,0.801782,0.928095
198,0.802514,0.930775
199,0.797842,0.9277
200,0.80135,0.928692
201,0.801494,0.931945
202,0.80161,0.931889
203,0.800853,0.932403
204,0.800443,0.932191
205,0.800005,0.932549
206,0.800778,0.932526
207,0.799933,0.932153
208,0.799807,0.931237
209,0.800564,0.931664
210,0.799933,0.930903
211,0.799781,0.931632
212,0.800989,0.931683
213,0.802812,0.932911
214,0.801642,0.931316
215,0.799527,0.930407
216,0.802435,0.931989
217,0.803984,0.928835
218,0.799215,0.928175
219,0.803769,0.931715
220,0.802242,0.928163
221,0.802785,0.928306
222,0.80431,0.93141
223,0.801408,0.927609
224,0.803032,0.928368
225,0.804275,0.930505
226,0.800285,0.927301
227,0.802658,0.928246
228,0.805059,0.930684
229,0.800021,0.927177
230,0.80251,0.928032
231,0.805874,0.930594
232,0.802613,0.926836
233,0.801407,0.927588
234,0.800869,0.929538
235,0.799903,0.925893
236,0.799526,0.926288
237,0.800745,0.928674
238,0.797444,0.927472
239,0.797836,0.925389
240,0.801735,0.936392
241,0.797987,0.929112
242,0.80111,0.92988
243,0.799506,0.932465
244,0.801057,0.92923
245,0.801552,0.931441
246,0.79994,0.931341
247,0.801118,0.932124
248,0.800836,0.932071
249,0.800921,0.932279
250,0.800861,0.93184
251,0.802896,0.9328
252,0.80121,0.932413
253,0.801237,0.932686
254,0.801914,0.932574
255,0.802436,0.933118
256,0.801622,0.932922
257,0.802444,0.933304
258,0.802551,0.933204
259,0.802131,0.933461
260,0.800946,0.932374
261,0.797354,0.928946
262,0.800526,0.931536
263,0.797233,0.927463
264,0.797981,0.927613
265,0.801321,0.931176
266,0.798069,0.927366
267,0.798668,0.927516
268,0.801687,0.931172
269,0.795795,0.927571
270,0.798036,0.929124
271,0.797014,0.927691
272,0.7999,0.931317
273,0.799728,0.928227
274,0.799172,0.928312
275,0.80239,0.932447
276,0.799445,0.92869
277,0.798543,0.928786
278,0.801328,0.932142
279,0.797808,0.927881
280,0.799088,0.928389
281,0.800397,0.931707
282,0.800556,0.928635
283,0.801488,0.929485
284,0.802754,0.932329
285,0.79854,0.928818
286,0.799359,0.930054
287,0.79972,0.932537
288,0.796727,0.93161
289,0.800176,0.932333
290,0.802294,0.932543
291,0.803965,0.933099
292,0.796395,0.927912
293,0.798021,0.927574
294,0.803712,0.931988
295,0.802237,0.93182
296,0.801688,0.931603
297,0.802597,0.931561
298,0.802101,0.932149
299,0.802062,0.932589
300,0.801225,0.937667
301,0.799281,0.936029
302,0.800209,0.934834
303,0.800198,0.934469
304,0.800377,0.934578
305,0.800498,0.934107
306,0.799877,0.934444
307,0.800382,0.934338
308,0.802101,0.934671
309,0.799755,0.934123
310,0.798229,0.934016
311,0.801673,0.935416
312,0.802771,0.935542
313,0.80032,0.93376
314,0.802109,0.932022
315,0.802218,0.935328
316,0.80308,0.936324
317,0.801294,0.935765
318,0.798201,0.935136
319,0.802845,0.935384
320,0.802173,0.93597
321,0.799607,0.935071
322,0.804637,0.935889
323,0.804817,0.93624
324,0.800249,0.930131
325,0.800109,0.929561
326,0.803545,0.932602
327,0.802461,0.928542
328,0.800049,0.928435
329,0.801519,0.931277
330,0.800028,0.927243
331,0.799502,0.928125
332,0.802998,0.930154
333,0.800928,0.92736
334,0.802518,0.929162
335,0.798672,0.925609
336,0.800021,0.928002
337,0.800496,0.924603
338,0.801235,0.92689
339,0.79695,0.923461
340,0.800291,0.925728
341,0.798387,0.923072
342,0.801584,0.926061
343,0.79866,0.9225
344,0.802179,0.925818
345,0.795588,0.921534
346,0.795568,0.921792
347,0.798535,0.924844
348,0.797653,0.922022
349,0.796638,0.922072
350,0.798619,0.924367
351,0.795842,0.921175
352,0.795632,0.921074
353,0.797287,0.924129
354,0.796161,0.921264
355,0.796691,0.922911
356,0.798904,0.925395
357,0.795336,0.922361
358,0.795198,0.922906
359,0.797308,0.925089
360,0.799216,0.933272
361,0.795319,0.926562
362,0.799261,0.929023
363,0.799719,0.931216
364,0.794761,0.926172
365,0.796237,0.928018
366,0.798349,0.929453
367,0.797746,0.925372
368,0.795366,0.925639
369,0.802037,0.928599
370,0.798073,0.924352
371,0.797945,0.924668
372,0.800702,0.927227
373,0.79495,0.922786
374,0.798887,0.923727
375,0.801631,0.926521
376,0.796306,0.922253
377,0.796283,0.923105
378,0.799093,0.925279
379,0.797187,0.922447
380,0.800263,0.925549
381,0.79603,0.921896
382,0.796035,0.924388
383,0.795931,0.921709
384,0.799264,0.924288
385,0.796051,0.920416
386,0.797573,0.921014
387,0.80037,0.92383
388,0.797096,0.92079
389,0.798133,0.923401
390,0.794623,0.919872
391,0.797473,0.924171
392,0.793117,0.921269
393,0.798122,0.924691
394,0.795308,0.921038
395,0.795601,0.924391
396,0.79438,0.922526
397,0.796101,0.923364
398,0.798301,0.925172
399,0.795753,0.924609
400,0.796958,0.925109
401,0.795427,0.924608
402,0.796818,0.925073
403,0.795323,0.924877
404,0.798636,0.925618
405,0.796535,0.924823
406,0.79837,0.925422
407,0.796785,0.924657
408,0.798642,0.92505
409,0.798574,0.925009
410,0.7992,0.925074
411,0.798499,0.92379
412,0.79818,0.924174
413,0.794596,0.920672
414,0.800196,0.923606
415,0.794531,0.919271
416,0.793782,0.922132
417,0.794975,0.919527
418,0.799018,0.922556
419,0.797953,0.919391
420,0.801968,0.92882
421,0.798375,0.922377
422,0.801597,0.926948
423,0.796331,0.922784
424,0.797094,0.925938
425,0.796019,0.922032
426,0.796053,0.922039
427,0.797366,0.925732
428,0.796033,0.921691
429,0.798488,0.922409
430,0.80139,0.925409
431,0.795299,0.921725
432,0.799592,0.92515
433,0.792569,0.919754
434,0.794589,0.919704
435,0.796556,0.924036
436,0.794357,0.919594
437,0.793515,0.918988
438,0.796265,0.922809
439,0.794374,0.918963
440,0.793539,0.918801
441,0.797269,0.922884
442,0.792769,0.918649
443,0.795316,0.919704
444,0.798117,0.922933
445,0.791606,0.919107
446,0.792329,0.91998
447,0.799636,0.923192
448,0.795686,0.919071
449,0.791422,0.919103
450,0.796688,0.922558
451,0.793125,0.917509
452,0.793427,0.918178
453,0.796201,0.921891
454,0.791257,0.917274
455,0.792937,0.918456
456,0.79548,0.921855
457,0.791792,0.917884
458,0.794047,0.919135
459,0.794535,0.922153
460,0.793368,0.918236
461,0.797623,0.91951
462,0.795719,0.922572
463,0.797028,0.920059
464,0.796578,0.923233
465,0.79366,0.918684
466,0.795789,0.919178
467,0.79885,0.923444
468,0.794219,0.919103
469,0.793609,0.919017
470,0.796118,0.923975
471,0.79417,0.920729
472,0.792355,0.92011
473,0.797066,0.923323
474,0.794607,0.91995
475,0.791199,0.919829
476,0.795748,0.922798
477,0.791284,0.919062
478,0.796063,0.9203
479,0.796503,0.922883
480,0.79963,0.93184
481,0.793183,0.922844
482,0.795027,0.926037
483,0.798142,0.927475
484,0.795124,0.920393
485,0.797994,0.92443
486,0.796232,0.926444
487,0.793268,0.920476
488,0.793372,0.923209
489,0.794454,0.924944
490,0.794798,0.920662
491,0.796553,0.921299
492,0.795699,0.924219
493,0.794346,0.920896
494,0.796599,0.921337
495,0.799724,0.924827
496,0.794542,0.921363
497,0.794064,0.921679
498,0.797917,0.924126
499,0.798074,0.921068
500,0.801861,0.924332
501,0.794263,0.919905
502,0.799298,0.923557
503,0.792308,0.919456
504,0.799319,0.923847
505,0.794227,0.919167
506,0.796827,0.920835
507,0.798794,0.923748
508,0.797449,0.919337
509,0.797196,0.920096
510,0.799261,0.92357
511,0.792255,0.919118
512,0.795197,0.919643
513,0.800725,0.92432
514,0.797279,0.920273
515,0.79896,0.92171
516,0.803149,0.926007
517,0.795257,0.923313
518,0.795974,0.923967
519,0.801716,0.927604
520,0.800168,0.92756
521,0.802412,0.928127
522,0.800904,0.928054
523,0.804676,0.929044
524,0.801685,0.928889
525,0.801663,0.929169
526,0.798432,0.928493
527,0.803729,0.930524
528,0.801215,0.930476
529,0.800837,0.931012
530,0.799429,0.930795
531,0.80536,0.932566
532,0.805095,0.93246
533,0.802604,0.932687
534,0.8054,0.932567
535,0.806027,0.933606
536,0.800012,0.932798
537,0.802281,0.933102
538,0.803592,0.933224
539,0.80595,0.933975
540,0.80447,0.9383
541,0.806016,0.937161
542,0.80397,0.93723
543,0.801808,0.936783
544,0.801593,0.936936
545,0.804679,0.936323
546,0.80492,0.936304
547,0.803017,0.935903
548,0.805989,0.936701
549,0.804548,0.935918
550,0.802078,0.935933
551,0.802552,0.935578
552,0.803671,0.93609
553,0.802595,0.93552
554,0.803972,0.935993
555,0.803524,0.935672
556,0.80432,0.936548
557,0.802038,0.935957
558,0.802978,0.936598
559,0.801308,0.936317
560,0.803115,0.937133
561,0.80382,0.935269
562,0.804512,0.935593
563,0.806163,0.936573
564,0.804317,0.93616
565,0.80365,0.936085
566,0.805343,0.93606
567,0.804705,0.936415
568,0.804334,0.936072
569,0.804388,0.936002
570,0.802266,0.935855
571,0.805972,0.936393
572,0.804451,0.935531
573,0.804036,0.935421
574,0.80226,0.935651
575,0.802289,0.930717
576,0.801184,0.93206
577,0.802729,0.93293
578,0.801369,0.929146
579,0.802572,0.931778
580,0.802493,0.928563
581,0.800727,0.930475
582,0.799636,0.927255
583,0.800773,0.929399
584,0.800928,0.926823
585,0.800475,0.929054
586,0.801993,0.926429
587,0.801319,0.928742
588,0.799278,0.925793
589,0.802144,0.92837
590,0.797407,0.924993
591,0.804205,0.92783
592,0.795662,0.924582
593,0.803703,0.92762
594,0.79495,0.92355
595,0.798986,0.923974
596,0.800925,0.92736
597,0.794411,0.924093
598,0.801731,0.924893
599,0.799922,0.927645
600,0.805126,0.936273
601,0.800707,0.931247
602,0.800292,0.930363
603,0.802163,0.932244
604,0.797346,0.925396
605,0.801133,0.928666
606,0.803218,0.931136
607,0.797012,0.923623
608,0.801613,0.926925
609,0.803015,0.931121
610,0.799426,0.92649
611,0.800853,0.927531
612,0.804768,0.931998
