Frame, eSSIM, SSIM
0,0.878578,0.953074
1,0.867516,0.948442
2,0.859762,0.944671
3,0.858176,0.942799
4,0.84881,0.938795
5,0.846392,0.936976
6,0.843383,0.935772
7,0.836405,0.93341
8,0.835648,0.933384
9,0.828604,0.931555
10,0.827894,0.931072
11,0.822882,0.929515
12,0.779411,0.91328
13,0.757917,0.906544
14,0.755569,0.905126
15,0.753995,0.90655
16,0.758005,0.906277
17,0.725417,0.889519
18,0.744644,0.8992
19,0.743996,0.895947
20,0.705995,0.881801
21,0.741461,0.895861
22,0.745024,0.895538
23,0.74801,0.895703
24,0.744643,0.893618
25,0.712086,0.881045
26,0.739783,0.890847
27,0.705992,0.877238
28,0.738677,0.888499
29,0.701979,0.873762
30,0.735331,0.885674
31,0.732735,0.883785
32,0.730071,0.881278
33,0.729474,0.880014
34,0.722414,0.873519
35,0.715947,0.867821
36,0.703231,0.85856
37,0.668974,0.837966
38,0.692808,0.844919
39,0.701531,0.854784
40,0.707417,0.863827
41,0.710555,0.871228
42,0.727415,0.880385
43,0.73333,0.888846
44,0.725043,0.878953
45,0.720053,0.877826
46,0.724852,0.881766
47,0.721136,0.8765
48,0.713809,0.868781
49,0.703892,0.861986
50,0.700477,0.859219
51,0.71425,0.867731
52,0.720192,0.870371
53,0.726209,0.873761
54,0.726087,0.874372
55,0.730017,0.877451
56,0.704778,0.867832
57,0.73752,0.883869
58,0.740658,0.887041
59,0.730245,0.88492
60,0.822671,0.924825
61,0.769706,0.906567
62,0.752467,0.896613
63,0.740135,0.887996
64,0.696215,0.867193
65,0.724295,0.877583
66,0.723081,0.8746
67,0.707594,0.867404
68,0.700847,0.861335
69,0.69522,0.859456
70,0.685827,0.855906
71,0.679075,0.85311
72,0.654905,0.842599
73,0.680467,0.857746
74,0.67547,0.851402
75,0.673603,0.844361
76,0.624911,0.805769
77,0.661923,0.827675
78,0.675139,0.836089
79,0.679533,0.838383
80,0.650095,0.823534
81,0.695285,0.846418
82,0.662594,0.829465
83,0.698809,0.849012
84,0.700104,0.849552
85,0.662492,0.830622
86,0.701866,0.850853
87,0.662541,0.830842
88,0.697415,0.849111
89,0.667211,0.833374
90,0.702607,0.852199
91,0.700927,0.852783
92,0.669188,0.837628
93,0.70876,0.856852
94,0.675273,0.838186
95,0.705337,0.853309
96,0.665722,0.834546
97,0.701101,0.851639
98,0.70249,0.852021
99,0.661832,0.830969
100,0.710105,0.855697
101,0.71998,0.860215
102,0.67945,0.840124
103,0.722237,0.861154
104,0.689658,0.843285
105,0.717271,0.857353
106,0.685506,0.838705
107,0.708208,0.850066
108,0.699094,0.843804
109,0.689762,0.834482
110,0.682538,0.831657
111,0.677395,0.837641
112,0.689528,0.843818
113,0.705951,0.856413
114,0.726472,0.869047
115,0.744863,0.879384
116,0.748851,0.881935
117,0.720646,0.871698
118,0.757578,0.887868
119,0.729568,0.874908
120,0.832732,0.92373
121,0.738462,0.888405
122,0.78062,0.905155
123,0.744275,0.888295
124,0.773486,0.901238
125,0.736061,0.885269
126,0.762173,0.89615
127,0.731541,0.883189
128,0.742758,0.885162
129,0.71584,0.866155
130,0.695768,0.857374
131,0.681771,0.853918
132,0.674729,0.842483
133,0.659279,0.825382
134,0.659201,0.821918
135,0.661464,0.821171
136,0.660568,0.820702
137,0.661864,0.822385
138,0.673694,0.830312
139,0.684556,0.837485
140,0.6876,0.839142
141,0.656016,0.821005
142,0.702024,0.846758
143,0.662848,0.827049
144,0.704399,0.84827
145,0.661056,0.826907
146,0.710481,0.850613
147,0.659972,0.826368
148,0.714585,0.852183
149,0.676679,0.833927
150,0.717839,0.854787
151,0.682524,0.839119
152,0.727755,0.861519
153,0.691542,0.845057
154,0.730494,0.864789
155,0.692085,0.848209
156,0.734336,0.868349
157,0.699628,0.851522
158,0.738202,0.871107
159,0.697703,0.853871
160,0.741944,0.874878
161,0.710988,0.86029
162,0.755933,0.881463
163,0.710492,0.861747
164,0.756727,0.881282
165,0.70729,0.860302
166,0.754311,0.881013
167,0.712402,0.860947
168,0.750538,0.878101
169,0.707641,0.857626
170,0.746031,0.874456
171,0.693059,0.847402
172,0.725689,0.862531
173,0.710919,0.853616
174,0.71337,0.853544
175,0.713933,0.852477
176,0.672462,0.830001
177,0.703297,0.846969
178,0.700162,0.844058
179,0.696722,0.843835
180,0.790587,0.893645
181,0.68174,0.837169
182,0.699657,0.850491
183,0.717206,0.863335
184,0.660359,0.835333
185,0.716181,0.860162
186,0.714,0.859371
187,0.726143,0.864654
188,0.684008,0.8437
189,0.725424,0.862969
190,0.686651,0.842886
191,0.725458,0.861594
192,0.685418,0.839481
193,0.72876,0.860081
194,0.685312,0.837703
195,0.732511,0.861103
196,0.692392,0.841871
197,0.738363,0.866254
198,0.740151,0.866082
199,0.744555,0.868516
200,0.69777,0.845137
201,0.746189,0.869155
202,0.751666,0.872227
203,0.717065,0.854619
204,0.751288,0.873931
205,0.710099,0.854184
206,0.748476,0.876689
207,0.755937,0.881099
208,0.701497,0.856527
209,0.761148,0.885068
210,0.713374,0.864767
211,0.761553,0.88558
212,0.71479,0.868729
213,0.765634,0.89199
214,0.767622,0.895588
215,0.773666,0.896133
216,0.73873,0.878895
217,0.772776,0.895135
218,0.734399,0.878179
219,0.774414,0.896706
220,0.740249,0.881943
221,0.778312,0.900981
222,0.781026,0.902373
223,0.785355,0.906702
224,0.787863,0.908149
225,0.788946,0.911791
226,0.79033,0.916162
227,0.791924,0.918367
228,0.797885,0.921709
229,0.801828,0.924114
230,0.803059,0.923551
231,0.79346,0.919159
232,0.788219,0.916611
233,0.789421,0.916921
234,0.785878,0.915927
235,0.788402,0.914455
236,0.782399,0.912058
237,0.780969,0.909474
238,0.777271,0.907077
239,0.771906,0.90555
240,0.865662,0.94696
241,0.811409,0.925874
242,0.796275,0.9191
243,0.78409,0.913314
244,0.780188,0.908537
245,0.768917,0.901184
246,0.764276,0.898475
247,0.75786,0.89031
248,0.751106,0.886128
249,0.741989,0.886658
250,0.746249,0.88712
251,0.737592,0.881409
252,0.738053,0.880177
253,0.746273,0.884205
254,0.749412,0.885981
255,0.749256,0.888298
256,0.751961,0.88877
257,0.718842,0.874745
258,0.74851,0.888304
259,0.746647,0.886173
260,0.745818,0.886238
261,0.744176,0.886803
262,0.712205,0.872592
263,0.736405,0.882663
264,0.732288,0.878181
265,0.735992,0.87728
266,0.735128,0.875455
267,0.734886,0.876938
268,0.723634,0.869969
269,0.714641,0.864235
270,0.720148,0.866604
271,0.728462,0.872303
272,0.731817,0.876659
273,0.735095,0.879318
274,0.736304,0.88287
275,0.736902,0.889722
276,0.743084,0.899599
277,0.753765,0.909983
278,0.761089,0.919698
279,0.767405,0.925147
280,0.769485,0.925481
281,0.773577,0.922993
282,0.757845,0.911977
283,0.748627,0.904407
284,0.741944,0.898251
285,0.740639,0.893076
286,0.744984,0.889386
287,0.740018,0.884258
288,0.736142,0.878824
289,0.732814,0.872479
290,0.732996,0.867579
291,0.730876,0.865718
292,0.695348,0.849297
293,0.74074,0.87247
294,0.698633,0.855282
295,0.73915,0.87522
296,0.737836,0.875954
297,0.736574,0.875252
298,0.736248,0.873963
299,0.737354,0.872036
300,0.828607,0.917735
301,0.776866,0.895831
302,0.770292,0.892325
303,0.76649,0.891914
304,0.761208,0.891214
305,0.759532,0.89711
306,0.771207,0.908532
307,0.742153,0.902182
308,0.768621,0.908428
309,0.764707,0.901814
310,0.760393,0.896666
311,0.757188,0.891088
312,0.751923,0.885914
313,0.747467,0.880595
314,0.745122,0.876649
315,0.74467,0.878698
316,0.716306,0.865776
317,0.744437,0.881017
318,0.742533,0.882201
319,0.734637,0.878184
320,0.719599,0.865499
321,0.722745,0.868443
322,0.721691,0.869174
323,0.690417,0.855286
324,0.722482,0.873386
325,0.741002,0.883475
326,0.741172,0.88558
327,0.740932,0.886251
328,0.734328,0.879162
329,0.721844,0.872242
330,0.714281,0.866943
331,0.715373,0.866601
332,0.711037,0.862841
333,0.712671,0.865224
334,0.711641,0.863841
335,0.679486,0.847269
336,0.708726,0.863342
337,0.669416,0.841388
338,0.704923,0.858523
339,0.673474,0.843881
340,0.708783,0.860238
341,0.714017,0.862107
342,0.682293,0.846708
343,0.711517,0.86133
344,0.689465,0.850503
345,0.70792,0.860243
346,0.705707,0.859427
347,0.712684,0.86591
348,0.705624,0.860428
349,0.69983,0.857723
350,0.704504,0.862049
351,0.68979,0.852009
352,0.685539,0.849304
353,0.681966,0.844699
354,0.6788,0.842611
355,0.679104,0.84522
356,0.694711,0.853635
357,0.704557,0.859215
358,0.705677,0.858826
359,0.706661,0.859461
360,0.825418,0.920892
361,0.723812,0.88216
362,0.774377,0.9012
363,0.770256,0.898702
364,0.71309,0.875103
365,0.765367,0.895908
366,0.720949,0.875347
367,0.756193,0.890861
368,0.724294,0.875542
369,0.749853,0.887359
370,0.749893,0.886196
371,0.710437,0.867958
372,0.741995,0.880998
373,0.698635,0.860588
374,0.716465,0.868906
375,0.7091,0.865482
376,0.670716,0.844065
377,0.69867,0.859432
378,0.695499,0.860363
379,0.657399,0.841453
380,0.683762,0.852906
381,0.643538,0.831577
382,0.678205,0.849679
383,0.642502,0.829744
384,0.676612,0.848264
385,0.649411,0.833945
386,0.680329,0.850654
387,0.650859,0.831613
388,0.674834,0.844589
389,0.627411,0.815765
390,0.661817,0.836178
391,0.642839,0.827089
392,0.681285,0.846374
393,0.684931,0.850586
394,0.680557,0.848222
395,0.650658,0.827442
396,0.683547,0.846847
397,0.653994,0.833683
398,0.689041,0.852918
399,0.658824,0.839253
400,0.702363,0.861764
401,0.659039,0.836883
402,0.691898,0.853783
403,0.650452,0.833265
404,0.683689,0.850266
405,0.656848,0.835329
406,0.687989,0.853094
407,0.66023,0.836084
408,0.689808,0.853689
409,0.672023,0.84516
410,0.666818,0.84184
411,0.662755,0.838645
412,0.628125,0.819902
413,0.663252,0.839791
414,0.627419,0.820466
415,0.661108,0.838532
416,0.660296,0.837127
417,0.661055,0.839708
418,0.668282,0.844809
419,0.673105,0.845421
420,0.753536,0.88668
421,0.71339,0.871411
422,0.700032,0.862429
423,0.694195,0.857215
424,0.689093,0.852048
425,0.690262,0.851107
426,0.701999,0.857596
427,0.700299,0.852287
428,0.694656,0.847517
429,0.645545,0.821814
430,0.675787,0.838308
431,0.639308,0.817834
432,0.670294,0.832207
433,0.623299,0.806063
434,0.656674,0.82473
435,0.649612,0.822074
436,0.637515,0.816443
437,0.625962,0.809753
438,0.617001,0.806507
439,0.614966,0.810246
440,0.627609,0.822193
441,0.632873,0.830248
442,0.66234,0.851732
443,0.648038,0.838828
444,0.657228,0.839053
445,0.651362,0.831154
446,0.617498,0.812689
447,0.643118,0.827795
448,0.645398,0.832069
449,0.615759,0.810058
450,0.647509,0.826799
451,0.650124,0.827719
452,0.615298,0.812375
453,0.643078,0.826528
454,0.613537,0.809759
455,0.64904,0.828266
456,0.627238,0.817337
457,0.644864,0.828576
458,0.661268,0.837983
459,0.660685,0.835243
460,0.663299,0.836399
461,0.646768,0.829571
462,0.670093,0.840262
463,0.663882,0.837388
464,0.646542,0.829422
465,0.668812,0.841211
466,0.641142,0.824349
467,0.66961,0.843519
468,0.645114,0.828586
469,0.659995,0.836662
470,0.6412,0.827023
471,0.656203,0.835173
472,0.64283,0.825477
473,0.671147,0.844117
474,0.63418,0.823762
475,0.66445,0.841457
476,0.637075,0.826035
477,0.66725,0.841336
478,0.669497,0.8396
479,0.675733,0.840097
480,0.766229,0.888845
481,0.69996,0.858622
482,0.681582,0.849047
483,0.666497,0.839018
484,0.645784,0.827438
485,0.636501,0.823054
486,0.644588,0.829935
487,0.642016,0.830567
488,0.631267,0.825227
489,0.63673,0.828374
490,0.631471,0.822017
491,0.624972,0.818664
492,0.629753,0.816714
493,0.670708,0.841267
494,0.656623,0.831486
495,0.658914,0.829372
496,0.637905,0.81764
497,0.649387,0.823091
498,0.646137,0.82392
499,0.640043,0.821384
500,0.653715,0.83044
501,0.613774,0.808093
502,0.641657,0.826141
503,0.631891,0.819303
504,0.621879,0.813192
505,0.613427,0.807555
506,0.613425,0.806038
507,0.629182,0.81623
508,0.625824,0.809549
509,0.637274,0.813319
510,0.629969,0.809144
511,0.637323,0.812433
512,0.646383,0.818425
513,0.657971,0.822987
514,0.623135,0.803527
515,0.653572,0.822875
516,0.632105,0.812474
517,0.661727,0.831802
518,0.671812,0.838803
519,0.647927,0.825121
520,0.676815,0.846323
521,0.65918,0.840478
522,0.68342,0.852324
523,0.692689,0.859468
524,0.671427,0.847022
525,0.702661,0.865626
526,0.667862,0.84748
527,0.68879,0.856335
528,0.667773,0.844482
529,0.682741,0.85055
530,0.6536,0.830906
531,0.679425,0.844112
532,0.65625,0.831569
533,0.671233,0.840302
534,0.681202,0.847306
535,0.642464,0.824872
536,0.671584,0.839789
537,0.639886,0.821892
538,0.661162,0.834908
539,0.67296,0.840606
540,0.781753,0.897215
