Frame, eSSIM, SSIM
0,0.919798,0.968142
1,0.91238,0.964907
2,0.907598,0.962849
3,0.906487,0.961441
4,0.899935,0.95875
5,0.897769,0.957425
6,0.897008,0.956649
7,0.89175,0.955086
8,0.888906,0.954874
9,0.885445,0.953592
10,0.884054,0.953147
11,0.879442,0.95156
12,0.84185,0.939046
13,0.833685,0.935327
14,0.829232,0.93406
15,0.82493,0.934526
16,0.839669,0.938309
17,0.822027,0.930484
18,0.834864,0.934977
19,0.830552,0.933308
20,0.808676,0.925731
21,0.828824,0.931895
22,0.826466,0.930558
23,0.827784,0.930445
24,0.824904,0.928413
25,0.801679,0.919985
26,0.81669,0.924484
27,0.792808,0.915567
28,0.813902,0.922511
29,0.797195,0.91475
30,0.811425,0.919977
31,0.812882,0.919115
32,0.810644,0.917417
33,0.807453,0.915105
34,0.801806,0.910989
35,0.793722,0.906499
36,0.788093,0.901323
37,0.767161,0.88873
38,0.783749,0.894044
39,0.787878,0.899644
40,0.791471,0.906007
41,0.79363,0.911953
42,0.806183,0.917674
43,0.814271,0.924733
44,0.804329,0.917175
45,0.801863,0.916037
46,0.806176,0.919497
47,0.7996,0.914439
48,0.793894,0.908951
49,0.787604,0.904546
50,0.785823,0.902791
51,0.796984,0.907449
52,0.799129,0.908252
53,0.804366,0.911076
54,0.804607,0.911676
55,0.807,0.91369
56,0.795855,0.909534
57,0.819522,0.920997
58,0.827205,0.924828
59,0.821097,0.923205
60,0.883466,0.950266
61,0.848928,0.938031
62,0.836236,0.93115
63,0.828927,0.926405
64,0.798359,0.913581
65,0.817505,0.919349
66,0.813393,0.916751
67,0.801963,0.912055
68,0.79743,0.908227
69,0.794317,0.907289
70,0.78871,0.906723
71,0.781622,0.904191
72,0.762307,0.896943
73,0.780911,0.906965
74,0.773087,0.900744
75,0.765736,0.893231
76,0.736981,0.870867
77,0.759202,0.883246
78,0.78063,0.892836
79,0.786024,0.895196
80,0.764498,0.886603
81,0.790167,0.897433
82,0.765532,0.886686
83,0.791231,0.898295
84,0.797066,0.900857
85,0.771297,0.888761
86,0.797823,0.90133
87,0.776336,0.892249
88,0.797312,0.901212
89,0.780769,0.893001
90,0.79954,0.90345
91,0.799393,0.904331
92,0.779895,0.895421
93,0.800504,0.904436
94,0.775865,0.89309
95,0.798938,0.903172
96,0.770085,0.890283
97,0.797404,0.902613
98,0.803669,0.90502
99,0.782533,0.894734
100,0.80197,0.903668
101,0.802717,0.903322
102,0.777665,0.891429
103,0.801608,0.902885
104,0.774721,0.890412
105,0.803892,0.902231
106,0.78275,0.892611
107,0.791801,0.896219
108,0.781894,0.890256
109,0.763564,0.878412
110,0.757823,0.875131
111,0.765262,0.883746
112,0.767534,0.885093
113,0.772646,0.890764
114,0.792568,0.903094
115,0.809383,0.910043
116,0.824767,0.917429
117,0.806988,0.911378
118,0.829635,0.921165
119,0.811973,0.913743
120,0.890377,0.949199
121,0.825574,0.924412
122,0.851216,0.936663
123,0.823101,0.923077
124,0.844677,0.932419
125,0.819847,0.920956
126,0.837312,0.930035
127,0.813823,0.920923
128,0.815098,0.919392
129,0.796579,0.905927
130,0.78198,0.900676
131,0.771875,0.899359
132,0.767162,0.892154
133,0.759118,0.880613
134,0.763134,0.880964
135,0.763923,0.880235
136,0.763909,0.880174
137,0.766816,0.881918
138,0.771225,0.885335
139,0.780202,0.890263
140,0.782867,0.890835
141,0.753766,0.876664
142,0.790807,0.894716
143,0.754074,0.877428
144,0.796879,0.898138
145,0.769128,0.885107
146,0.804429,0.900637
147,0.773624,0.885776
148,0.805027,0.900644
149,0.77463,0.887419
150,0.805539,0.901703
151,0.778486,0.891203
