Frame, eSSIM, SSIM
0,0.775089,0.913922
1,0.755913,0.904351
2,0.745715,0.899125
3,0.742347,0.895759
4,0.729791,0.888286
5,0.726117,0.885054
6,0.720523,0.882979
7,0.713354,0.878682
8,0.70998,0.878298
9,0.703644,0.874667
10,0.704763,0.876311
11,0.703182,0.875573
12,0.653539,0.85003
13,0.640373,0.841476
14,0.635892,0.840016
15,0.633963,0.843945
16,0.626776,0.836143
17,0.603882,0.821254
18,0.61927,0.829534
19,0.614088,0.826762
20,0.600275,0.819055
21,0.610898,0.825762
22,0.61254,0.824623
23,0.612933,0.823447
24,0.608974,0.819381
25,0.597272,0.812246
26,0.604261,0.815613
27,0.586357,0.806581
28,0.601797,0.812663
29,0.574348,0.798297
30,0.590211,0.804919
31,0.584817,0.801136
32,0.581852,0.797154
33,0.576933,0.791831
34,0.566635,0.780896
35,0.560288,0.771718
36,0.552643,0.76413
37,0.526098,0.741275
38,0.539299,0.746424
39,0.542348,0.754952
40,0.549233,0.766602
41,0.557345,0.777018
42,0.578531,0.793735
43,0.586017,0.807142
44,0.574924,0.79276
45,0.575842,0.794652
46,0.577593,0.798276
47,0.568591,0.787717
48,0.563862,0.777442
49,0.554742,0.767337
50,0.545633,0.758607
51,0.547116,0.762882
52,0.54478,0.760407
53,0.548333,0.76383
54,0.542368,0.758507
55,0.54242,0.761354
56,0.538493,0.756948
57,0.554155,0.769798
58,0.556074,0.773411
59,0.559991,0.778919
60,0.62182,0.830632
61,0.5725,0.804409
62,0.568361,0.79805
63,0.561,0.790822
64,0.535125,0.76863
65,0.557506,0.777865
66,0.551613,0.770644
67,0.543636,0.762085
68,0.533086,0.752162
69,0.529776,0.750762
70,0.534503,0.755408
71,0.542954,0.759294
72,0.541782,0.757719
73,0.552826,0.772383
74,0.540114,0.76166
75,0.537843,0.754575
76,0.511464,0.718846
77,0.524449,0.730249
78,0.526216,0.733017
79,0.53197,0.736933
80,0.525433,0.731952
81,0.54003,0.74382
82,0.530432,0.737508
83,0.537025,0.744662
84,0.5335,0.741772
85,0.518775,0.731837
86,0.53246,0.741365
