Frame, eSSIM, SSIM
0,0.885781,0.955158
1,0.833057,0.937028
2,0.817595,0.929451
3,0.805264,0.923215
4,0.796171,0.916317
5,0.790141,0.912104
6,0.785277,0.909959
7,0.776067,0.90593
8,0.772653,0.904357
9,0.772478,0.903573
10,0.769839,0.901702
11,0.764783,0.900021
12,0.707335,0.875395
13,0.688736,0.866277
14,0.683246,0.862304
15,0.684305,0.867742
16,0.696676,0.867797
17,0.705146,0.869345
18,0.661578,0.853123
19,0.71149,0.873786
20,0.666471,0.855743
21,0.702772,0.869743
22,0.66996,0.852959
23,0.696395,0.865388
24,0.682705,0.857844
25,0.67898,0.854632
26,0.681682,0.856374
27,0.686005,0.85693
28,0.685487,0.856988
29,0.686058,0.856188
30,0.682569,0.855207
31,0.683963,0.854278
32,0.67329,0.848618
33,0.666489,0.843811
34,0.662207,0.837896
35,0.64928,0.826984
36,0.643077,0.819279
37,0.631748,0.809639
38,0.622354,0.801335
39,0.632603,0.812318
40,0.635877,0.82186
41,0.641279,0.828993
42,0.653613,0.838431
43,0.65533,0.846584
44,0.645402,0.833576
45,0.644151,0.835119
46,0.644003,0.838322
47,0.637647,0.828465
48,0.628147,0.8186
49,0.618244,0.808415
50,0.618366,0.805388
51,0.615764,0.807503
52,0.611274,0.80356
53,0.609762,0.804657
54,0.604752,0.802794
55,0.599425,0.801343
56,0.604879,0.804468
57,0.610798,0.810208
58,0.620371,0.816348
59,0.606979,0.812686
60,0.718006,0.878335
61,0.637042,0.843024
62,0.629607,0.833346
63,0.621891,0.825169
64,0.611128,0.814446
65,0.604176,0.806978
66,0.601102,0.801355
67,0.592395,0.794464
68,0.588134,0.788555
69,0.581294,0.786396
70,0.57862,0.785205
71,0.585919,0.788384
72,0.587142,0.791877
73,0.589139,0.796038
74,0.584396,0.788382
75,0.580493,0.778561
76,0.562586,0.753287
77,0.5636,0.754214
78,0.581175,0.767671
79,0.59397,0.775759
80,0.574344,0.763714
81,0.608526,0.786195
82,0.575474,0.767957
83,0.604726,0.786161
84,0.572823,0.768568
85,0.602247,0.78487
86,0.571143,0.766893
87,0.601981,0.78477
88,0.568385,0.764894
89,0.593263,0.778823
90,0.591307,0.777635
91,0.592552,0.780825
92,0.594991,0.782984
93,0.561042,0.761269
94,0.595934,0.78171
95,0.563601,0.758996
96,0.594518,0.779917
97,0.590682,0.778728
98,0.588739,0.775859
99,0.585465,0.773422
100,0.551286,0.748422
101,0.587068,0.772954
102,0.546673,0.744862
103,0.585186,0.76978
104,0.551757,0.748969
105,0.588762,0.771048
106,0.552411,0.746757
107,0.581835,0.764654
108,0.565986,0.751794
109,0.560059,0.743812
110,0.575653,0.756402
111,0.584719,0.77347
112,0.603975,0.78655
113,0.606089,0.788318
114,0.621971,0.800273
115,0.625299,0.800769
116,0.63451,0.807558
117,0.633471,0.808915
118,0.642127,0.814651
119,0.621343,0.802793
120,0.753358,0.887635
121,0.650489,0.841299
122,0.677453,0.851962
123,0.637011,0.830136
124,0.682504,0.849962
125,0.637116,0.828399
126,0.674529,0.844779
127,0.63058,0.825381
128,0.649144,0.829144
129,0.621589,0.805223
130,0.617395,0.801028
131,0.608495,0.802634
132,0.59465,0.790806
133,0.572896,0.765274
134,0.567117,0.755666
135,0.559147,0.749216
136,0.552653,0.743025
137,0.553579,0.744379
138,0.560516,0.749956
139,0.566993,0.753217
140,0.547641,0.735544
141,0.577546,0.757257
142,0.559594,0.743601
143,0.578093,0.757936
144,0.562302,0.746886
145,0.583788,0.761434
146,0.559712,0.746289
147,0.585454,0.762778
148,0.561823,0.748072
149,0.593699,0.767238
150,0.571219,0.755498
151,0.603172,0.776982
152,0.583099,0.7666
153,0.606272,0.780141
154,0.603557,0.779542
155,0.575704,0.765377
156,0.606141,0.783354
157,0.566821,0.76478
158,0.606782,0.785951
159,0.58549,0.775216
160,0.614418,0.792705
161,0.593332,0.782154
162,0.629284,0.802109
163,0.584226,0.777675
164,0.595068,0.782874
165,0.631548,0.803634
166,0.58473,0.778011
167,0.593892,0.783288
168,0.630923,0.801674
169,0.593666,0.782067
170,0.628419,0.799471
171,0.58927,0.77751
172,0.616177,0.790392
173,0.57323,0.761961
174,0.600052,0.777122
175,0.593318,0.772455
176,0.590135,0.769142
177,0.586625,0.767267
178,0.586785,0.767481
179,0.580651,0.764474
180,0.673116,0.827579
181,0.595509,0.775225
182,0.61159,0.791631
183,0.630868,0.809309
184,0.59126,0.786306
185,0.624728,0.803003
186,0.622757,0.801067
187,0.584762,0.779591
188,0.623205,0.799866
189,0.594498,0.783491
190,0.620472,0.796902
191,0.584212,0.774629
192,0.623846,0.795833
193,0.613852,0.789585
194,0.617559,0.789272
195,0.617526,0.788263
196,0.620512,0.789988
197,0.630224,0.797079
198,0.628275,0.79667
199,0.639099,0.803256
