Frame, eSSIM, SSIM
0,0.931894,0.971482
1,0.894861,0.960015
2,0.885463,0.955402
3,0.875906,0.951185
4,0.869322,0.946856
5,0.863857,0.943963
6,0.861579,0.942017
7,0.855236,0.939995
8,0.848882,0.938005
9,0.847013,0.937322
10,0.844513,0.936404
11,0.838184,0.93432
12,0.788197,0.915737
13,0.775681,0.910407
14,0.773226,0.909159
15,0.774777,0.911586
16,0.772196,0.90791
17,0.769129,0.904199
18,0.725871,0.888833
19,0.764898,0.902999
20,0.721295,0.885993
21,0.764045,0.90105
22,0.724975,0.885227
23,0.750974,0.895954
24,0.762615,0.899697
25,0.760184,0.8982
26,0.765539,0.899927
27,0.77325,0.902648
28,0.77736,0.903562
29,0.77911,0.903518
30,0.772994,0.901113
31,0.772935,0.90002
32,0.769179,0.898283
33,0.768433,0.896266
34,0.763581,0.892773
35,0.758073,0.888129
36,0.752098,0.882779
37,0.749823,0.878072
38,0.746942,0.874543
39,0.754704,0.882154
40,0.754397,0.888476
41,0.757532,0.894993
42,0.773856,0.902257
43,0.781066,0.909829
44,0.769527,0.899913
45,0.762839,0.898323
46,0.768135,0.902665
47,0.762003,0.896904
48,0.751065,0.88895
49,0.743698,0.884118
50,0.74824,0.885293
51,0.75384,0.887923
52,0.759462,0.889519
53,0.760242,0.890646
54,0.75756,0.891187
55,0.76092,0.892017
56,0.763861,0.893527
57,0.772134,0.898703
58,0.772316,0.902282
59,0.75801,0.896253
60,0.857984,0.940115
61,0.791925,0.916193
62,0.77654,0.907451
63,0.770127,0.900856
64,0.761115,0.89433
65,0.755871,0.890362
66,0.749147,0.886541
67,0.739605,0.882287
68,0.725513,0.873985
69,0.717222,0.871085
70,0.708539,0.867834
71,0.701883,0.865127
72,0.697537,0.863403
73,0.694255,0.86338
74,0.689878,0.857103
75,0.681509,0.847439
76,0.663666,0.826423
77,0.660094,0.827038
78,0.698055,0.845678
79,0.709755,0.853415
80,0.682712,0.839669
81,0.724694,0.861397
82,0.685877,0.842804
83,0.7256,0.863854
84,0.687031,0.843684
85,0.728412,0.864115
86,0.687021,0.842954
87,0.729881,0.864451
88,0.690232,0.845168
89,0.728847,0.863923
90,0.730453,0.86631
91,0.731946,0.867996
92,0.734466,0.870222
93,0.693608,0.849535
94,0.738634,0.871808
95,0.693472,0.848599
96,0.733482,0.868326
97,0.731717,0.86712
98,0.731276,0.867127
99,0.730313,0.865877
100,0.692899,0.846306
101,0.737971,0.869684
102,0.691864,0.845483
103,0.738697,0.868627
104,0.698569,0.848083
105,0.743577,0.869427
106,0.700019,0.847621
107,0.733719,0.86367
108,0.716615,0.853699
109,0.700088,0.839611
110,0.689824,0.836195
111,0.688542,0.842709
