Frame, eSSIM, SSIM
0,0.795593,0.922316
1,0.72089,0.890707
2,0.705612,0.88116
3,0.699569,0.874184
4,0.691752,0.866574
5,0.681498,0.860025
6,0.677188,0.856356
7,0.675503,0.854397
8,0.675256,0.852539
9,0.673714,0.850414
10,0.667348,0.847132
11,0.661491,0.84341
12,0.634377,0.827599
13,0.620129,0.816879
14,0.618611,0.816133
15,0.615571,0.814012
16,0.608621,0.802195
17,0.602228,0.796642
18,0.582649,0.785816
19,0.595401,0.791664
20,0.590349,0.787422
21,0.598519,0.791578
22,0.591873,0.786776
23,0.595735,0.789723
24,0.590836,0.785854
25,0.58678,0.783742
26,0.588483,0.783216
27,0.583011,0.779965
28,0.576018,0.77625
29,0.57294,0.773649
30,0.570836,0.771364
31,0.564293,0.764405
32,0.558269,0.759062
33,0.551675,0.752502
34,0.550403,0.747604
35,0.538591,0.736582
36,0.531747,0.72568
37,0.521008,0.71342
38,0.514903,0.706607
39,0.516133,0.711413
40,0.523213,0.721353
41,0.535135,0.732972
42,0.545641,0.739315
43,0.550445,0.751432
44,0.539284,0.732309
45,0.541838,0.731526
46,0.543578,0.736057
47,0.538548,0.727834
48,0.532459,0.718909
49,0.530179,0.714912
50,0.523409,0.710108
51,0.517143,0.708136
52,0.515192,0.707671
53,0.509693,0.702006
54,0.499159,0.696192
55,0.501506,0.695301
56,0.49854,0.693183
57,0.506677,0.696766
58,0.511364,0.701221
59,0.505977,0.697725
60,0.609187,0.820102
61,0.566766,0.795255
62,0.54686,0.778473
63,0.541294,0.768838
64,0.530457,0.754429
65,0.529445,0.745981
66,0.520622,0.732633
67,0.509149,0.719914
68,0.486344,0.698578
69,0.475321,0.686082
70,0.472013,0.679716
71,0.476027,0.681823
72,0.493897,0.695492
73,0.504678,0.705159
74,0.494678,0.697337
75,0.494842,0.690298
76,0.490026,0.675344
77,0.50008,0.681156
78,0.500554,0.681617
79,0.496834,0.678817
80,0.491971,0.670433
81,0.503368,0.681211
82,0.49346,0.67073
83,0.500336,0.678792
84,0.491065,0.66993
85,0.500065,0.679215
86,0.492775,0.672656
87,0.498187,0.678128
88,0.495447,0.675642
89,0.494706,0.675558
90,0.493386,0.672381
91,0.491123,0.672943
92,0.491647,0.671164
93,0.48435,0.662162
94,0.495606,0.671349
95,0.482438,0.65937
96,0.492961,0.670341
97,0.491791,0.669086
98,0.491719,0.667792
99,0.49185,0.666346
