Frame, eSSIM, SSIM
0,0.82576,0.9337
1,0.757893,0.906904
2,0.741416,0.897567
3,0.730433,0.888807
4,0.723953,0.882539
5,0.714409,0.876605
6,0.708701,0.87332
7,0.705711,0.870949
8,0.702033,0.867959
9,0.70161,0.86773
10,0.700229,0.866478
11,0.689727,0.861976
12,0.650973,0.840289
13,0.641559,0.832068
14,0.639639,0.830931
15,0.637444,0.832044
16,0.620673,0.81552
17,0.613497,0.810006
18,0.590371,0.796
19,0.609824,0.806166
20,0.597489,0.799804
21,0.605784,0.803866
22,0.597631,0.797974
23,0.611122,0.804954
24,0.602909,0.7994
25,0.607395,0.800865
26,0.609218,0.802867
27,0.609056,0.80336
28,0.602077,0.799076
29,0.594516,0.795007
30,0.589808,0.791727
31,0.588265,0.788345
32,0.582247,0.784335
33,0.577429,0.778929
34,0.57345,0.77253
35,0.563372,0.762304
36,0.555997,0.753058
37,0.546558,0.743154
38,0.542456,0.738642
39,0.544277,0.746284
40,0.547404,0.756466
41,0.559212,0.766861
42,0.57374,0.778857
43,0.581678,0.792383
44,0.571441,0.777635
45,0.574338,0.778524
46,0.57444,0.781319
47,0.566241,0.769719
48,0.557906,0.758408
49,0.554309,0.749185
50,0.547658,0.740249
51,0.540143,0.736324
52,0.535443,0.731531
53,0.534667,0.728891
54,0.529698,0.725248
55,0.528103,0.721361
56,0.528779,0.720951
57,0.532476,0.72535
58,0.537588,0.730691
59,0.537587,0.731867
60,0.641491,0.837713
61,0.579608,0.804413
62,0.578198,0.796192
63,0.563741,0.782508
64,0.555997,0.770159
65,0.549642,0.758424
66,0.547915,0.750696
67,0.542454,0.742093
68,0.533173,0.728508
69,0.524061,0.720074
70,0.520212,0.714436
71,0.525405,0.718816
72,0.528627,0.721818
73,0.528576,0.726667
74,0.527892,0.722764
75,0.525385,0.712565
76,0.515106,0.696693
77,0.51768,0.701328
78,0.520883,0.709362
79,0.527159,0.715276
80,0.517676,0.705844
81,0.525775,0.713753
82,0.513358,0.701729
83,0.523955,0.709876
84,0.51034,0.699398
85,0.521776,0.7084
86,0.51116,0.699829
87,0.520854,0.711095
88,0.508421,0.700444
89,0.516261,0.707887
90,0.514708,0.705055
91,0.513345,0.706708
92,0.514515,0.706955
93,0.502604,0.694475
94,0.520411,0.709515
95,0.503324,0.693149
96,0.514368,0.705173
97,0.511866,0.702829
98,0.512375,0.700824
99,0.51435,0.699064
100,0.496965,0.683619
101,0.513984,0.69795
102,0.49396,0.679589
103,0.514658,0.696111
104,0.503015,0.685608
105,0.512666,0.695706
106,0.498889,0.681626
107,0.510762,0.693434
108,0.504518,0.685231
109,0.504106,0.677196
110,0.512765,0.684515
111,0.52012,0.693923
112,0.519983,0.688759
113,0.515767,0.682655
114,0.528865,0.700744
115,0.531633,0.708634
116,0.536369,0.718201
117,0.542583,0.723745
118,0.548934,0.728838
119,0.541643,0.725706
120,0.658057,0.838813
121,0.587829,0.803518
122,0.609874,0.809918
123,0.574634,0.789131
124,0.602272,0.800501
125,0.574408,0.784314
126,0.597483,0.793918
127,0.577847,0.783785
128,0.583694,0.788115
129,0.571325,0.763937
130,0.555607,0.748333
131,0.556785,0.749998
132,0.549072,0.737079
133,0.526276,0.710368
134,0.520306,0.70162
135,0.508858,0.691811
136,0.507281,0.689125
137,0.50752,0.689363
138,0.508689,0.690227
139,0.509239,0.689272
140,0.499499,0.677151
141,0.514355,0.692299
142,0.498889,0.678617
143,0.506137,0.685414
144,0.496966,0.678212
145,0.503953,0.685373
146,0.497655,0.680066
147,0.506457,0.689215
148,0.50279,0.686437
149,0.510732,0.694726
150,0.507056,0.690791
151,0.517892,0.703473
152,0.508296,0.695119
153,0.51608,0.702902
154,0.519301,0.706025
155,0.514046,0.70213
156,0.526903,0.711332
157,0.512306,0.702539
158,0.527354,0.713703
159,0.523139,0.712237
160,0.534426,0.721609
161,0.536836,0.725362
162,0.544638,0.734026
163,0.532597,0.725297
164,0.529552,0.721993
165,0.54868,0.736509
166,0.534214,0.726692
167,0.532388,0.725774
168,0.542718,0.733776
169,0.528049,0.723983
170,0.540939,0.732047
171,0.527757,0.720325
172,0.532847,0.724403
173,0.517614,0.708538
174,0.531123,0.716711
175,0.525575,0.711808
