Frame, eSSIM, SSIM
0,0.872761,0.958285
1,0.865203,0.953077
2,0.864604,0.950875
3,0.864953,0.950042
4,0.862956,0.948929
5,0.862353,0.948278
6,0.864089,0.949021
7,0.863608,0.948812
8,0.851896,0.946247
9,0.863315,0.949196
10,0.861393,0.948999
11,0.859788,0.948343
12,0.84075,0.940585
13,0.835449,0.937623
14,0.823841,0.933458
15,0.832094,0.937908
16,0.833878,0.937889
17,0.819603,0.931588
18,0.829502,0.934511
19,0.830996,0.935023
20,0.818086,0.930295
21,0.830132,0.933304
22,0.812334,0.92754
23,0.826169,0.931266
24,0.81259,0.925308
25,0.822097,0.927623
26,0.807857,0.921353
27,0.818205,0.924458
28,0.802012,0.917862
29,0.814805,0.921426
30,0.812955,0.9207
31,0.802004,0.915994
32,0.8145,0.919171
33,0.80057,0.913108
34,0.806364,0.913407
35,0.80086,0.908744
36,0.78483,0.899891
37,0.792601,0.899855
38,0.782498,0.893645
39,0.79695,0.90294
40,0.789095,0.904575
41,0.797365,0.912261
42,0.795048,0.913053
43,0.811407,0.92369
44,0.806534,0.916459
45,0.799992,0.913882
46,0.807095,0.918557
47,0.808654,0.917195
48,0.802103,0.911276
49,0.794746,0.906751
50,0.793455,0.904504
51,0.800218,0.90823
52,0.787235,0.902749
53,0.804429,0.911054
54,0.790566,0.905912
55,0.806074,0.912808
56,0.797061,0.910202
57,0.812058,0.917392
58,0.802248,0.91591
59,0.823489,0.926247
60,0.854584,0.943671
61,0.821582,0.928778
62,0.825897,0.928748
63,0.822648,0.924206
64,0.803575,0.915144
65,0.814079,0.91839
66,0.79712,0.910437
67,0.805186,0.912716
68,0.800325,0.9079
69,0.797536,0.907192
70,0.793196,0.906939
71,0.794722,0.90918
72,0.785726,0.906955
73,0.796812,0.912529
74,0.79605,0.90876
75,0.771108,0.894621
76,0.784963,0.893056
77,0.764948,0.88514
78,0.786492,0.894614
79,0.769938,0.888338
80,0.795982,0.898779
81,0.780518,0.8943
82,0.79832,0.901235
83,0.784473,0.895193
84,0.798441,0.900967
85,0.78276,0.894171
86,0.800468,0.902385
87,0.785674,0.895947
88,0.794635,0.899926
89,0.782341,0.894507
90,0.7971,0.900927
91,0.785639,0.896952
92,0.797048,0.902362
93,0.784717,0.896558
94,0.798476,0.902909
95,0.782156,0.896132
96,0.801643,0.903971
97,0.787816,0.897943
98,0.803042,0.904767
99,0.79004,0.89907
100,0.804952,0.905337
101,0.791559,0.898862
102,0.806573,0.905018
103,0.793976,0.899259
104,0.805435,0.90449
105,0.793031,0.898415
106,0.801079,0.900628
107,0.788492,0.894706
108,0.789216,0.892989
109,0.779318,0.884431
110,0.774091,0.882673
111,0.778323,0.890509
112,0.786046,0.894087
113,0.802628,0.905671
114,0.82028,0.916645
115,0.807661,0.913406
116,0.82806,0.922051
117,0.818621,0.919794
118,0.831449,0.925231
119,0.821929,0.920779
120,0.863498,0.945205
121,0.836604,0.932198
122,0.844732,0.936953
123,0.83082,0.929434
124,0.841513,0.934135
125,0.827092,0.92772
126,0.837972,0.932013
127,0.826249,0.926848
128,0.823979,0.924477
129,0.801793,0.909166
130,0.794302,0.906107
131,0.784517,0.902694
132,0.774029,0.894949
133,0.777712,0.889622
134,0.776654,0.887459
135,0.760875,0.879457
136,0.77698,0.886818
137,0.780141,0.888915
138,0.784472,0.893092
139,0.791472,0.896699
140,0.773863,0.888806
141,0.793659,0.898417
142,0.77706,0.891503
143,0.797829,0.900371
144,0.777387,0.89155
145,0.79666,0.900122
146,0.77791,0.890964
147,0.802493,0.902089
148,0.788535,0.894716
149,0.803835,0.903011
150,0.789945,0.896724
151,0.805839,0.905659
152,0.795675,0.901652
153,0.811749,0.909598
154,0.79732,0.904559
155,0.815704,0.913374
156,0.801782,0.908385
157,0.818608,0.916671
158,0.804017,0.910051
159,0.817705,0.917257
160,0.804533,0.912202
161,0.820657,0.918915
162,0.806636,0.913213
163,0.822374,0.920264
164,0.808046,0.91318
165,0.822863,0.919525
166,0.810122,0.913232
167,0.822508,0.918899
168,0.804257,0.910314
169,0.820672,0.917206
170,0.803128,0.909107
171,0.816944,0.914807
172,0.799523,0.905164
173,0.80906,0.908028
174,0.791315,0.898326
175,0.800439,0.901464
176,0.785221,0.893682
177,0.797719,0.89838
178,0.778147,0.889936
179,0.789582,0.895427
180,0.834203,0.924024
181,0.794691,0.899688
182,0.799372,0.9062
183,0.795019,0.907192
184,0.812241,0.91474
185,0.808587,0.912556
186,0.793685,0.9054
187,0.810656,0.912973
188,0.791256,0.903412
189,0.806387,0.909196
