Frame, eSSIM, SSIM
0,0.728329,0.894594
1,0.700622,0.883191
2,0.700308,0.880191
3,0.693603,0.876551
4,0.688854,0.872626
5,0.685012,0.868931
6,0.683535,0.868945
7,0.682567,0.869486
8,0.656094,0.858825
9,0.685549,0.871581
10,0.679181,0.868599
11,0.675031,0.866834
12,0.642666,0.852627
13,0.632978,0.848039
14,0.600181,0.831448
15,0.634804,0.853332
16,0.631134,0.847039
17,0.604089,0.829019
18,0.627586,0.84213
19,0.622603,0.839068
20,0.603955,0.830871
21,0.625205,0.840167
22,0.601991,0.828957
23,0.62686,0.840469
24,0.600817,0.826154
25,0.618649,0.833145
26,0.591103,0.818672
27,0.614436,0.828136
28,0.570812,0.808469
29,0.605986,0.821139
30,0.60223,0.817994
31,0.571673,0.801543
32,0.595865,0.811859
33,0.554033,0.78951
34,0.579935,0.796657
35,0.567867,0.784386
36,0.537594,0.760031
37,0.55046,0.761913
38,0.518124,0.738013
39,0.540106,0.758322
40,0.531355,0.76166
41,0.554843,0.783824
42,0.562497,0.790439
43,0.592446,0.815824
44,0.577448,0.799682
45,0.57935,0.799814
46,0.580059,0.802865
47,0.572746,0.793983
48,0.564238,0.783609
49,0.551804,0.770711
50,0.549256,0.766288
51,0.554871,0.774895
52,0.532128,0.762867
53,0.569673,0.787236
54,0.542366,0.772534
55,0.57032,0.790685
56,0.548514,0.782352
57,0.582762,0.803525
58,0.561577,0.795945
59,0.603929,0.820416
60,0.684281,0.862662
61,0.572789,0.811244
62,0.616472,0.829539
63,0.601604,0.819924
64,0.548029,0.78628
65,0.58914,0.805867
66,0.54487,0.77831
67,0.572589,0.788976
68,0.551902,0.775005
69,0.544162,0.771693
70,0.534021,0.766179
71,0.547504,0.775289
72,0.545836,0.774203
73,0.555946,0.7865
74,0.545057,0.775358
75,0.529199,0.75471
76,0.534557,0.744805
77,0.510242,0.731996
78,0.538821,0.750447
79,0.511887,0.737807
80,0.539744,0.751074
81,0.519384,0.741039
82,0.550257,0.760796
83,0.520814,0.744751
84,0.548139,0.75968
85,0.525583,0.745575
86,0.55219,0.761756
87,0.527934,0.748937
88,0.548836,0.76058
89,0.520526,0.743104
90,0.545793,0.759319
91,0.515873,0.74145
92,0.543759,0.761375
93,0.519482,0.74472
94,0.552886,0.764165
95,0.524899,0.746113
96,0.555807,0.766249
97,0.502346,0.734442
98,0.556757,0.766091
99,0.525001,0.74465
100,0.561236,0.768666
101,0.525144,0.745414
102,0.560778,0.767472
103,0.521551,0.744179
104,0.558511,0.764717
105,0.521828,0.740757
106,0.548613,0.754785
107,0.515702,0.732563
108,0.534311,0.743794
109,0.527593,0.731487
110,0.52134,0.727034
111,0.536502,0.749318
112,0.559349,0.767061
113,0.579828,0.785798
114,0.59657,0.799823
115,0.580343,0.793226
116,0.603356,0.808564
117,0.585098,0.800833
118,0.615195,0.815986
119,0.595582,0.806618
120,0.694231,0.860837
121,0.614957,0.823804
122,0.639064,0.837575
123,0.599849,0.817982
124,0.645552,0.838048
125,0.597112,0.817182
126,0.635325,0.834458
127,0.599485,0.818901
128,0.618521,0.822471
129,0.590155,0.796956
130,0.570009,0.785145
131,0.554197,0.777873
132,0.536825,0.760906
133,0.52328,0.737371
134,0.522479,0.732043
135,0.494496,0.712034
136,0.519994,0.728157
137,0.529985,0.736288
138,0.540069,0.746147
139,0.549332,0.753479
140,0.530777,0.740894
141,0.566312,0.762864
142,0.546309,0.751134
143,0.57259,0.766764
144,0.549339,0.754173
145,0.571409,0.766235
146,0.547803,0.752176
147,0.574488,0.766979
148,0.550745,0.753293
149,0.574133,0.766667
150,0.556162,0.75922
151,0.582497,0.776695
152,0.560564,0.766184
153,0.584055,0.778823
154,0.553851,0.764091
155,0.583881,0.781153
156,0.555295,0.76703
157,0.592095,0.787714
158,0.563762,0.772566
159,0.594618,0.789481
160,0.568681,0.77782
161,0.604533,0.796419
162,0.575647,0.782992
163,0.611164,0.799731
164,0.573317,0.781827
165,0.61113,0.798825
166,0.58087,0.784094
167,0.608787,0.798276
168,0.577732,0.782412
169,0.603731,0.793732
170,0.570283,0.774593
171,0.603622,0.790828
172,0.563976,0.766279
173,0.58129,0.77405
174,0.541241,0.746612
175,0.569163,0.764633
176,0.533525,0.736831
177,0.559103,0.755157
178,0.520851,0.73376
179,0.553963,0.754046
180,0.633971,0.802181
181,0.546849,0.747669
182,0.569658,0.769414
183,0.560963,0.771381
184,0.582308,0.783881
185,0.575487,0.777791
186,0.551024,0.762858
187,0.590297,0.786402
188,0.553253,0.766445
