Frame, eSSIM, SSIM
0,0.882458,0.96658
1,0.880533,0.962935
2,0.881986,0.961799
3,0.881793,0.961083
4,0.880339,0.960301
5,0.880296,0.959924
6,0.881323,0.960348
7,0.881243,0.960317
8,0.875673,0.959025
9,0.881531,0.960799
10,0.880877,0.960628
11,0.880145,0.960199
12,0.870735,0.954844
13,0.870005,0.953804
14,0.862088,0.951627
15,0.869976,0.955128
16,0.870205,0.954903
17,0.858222,0.950375
18,0.864879,0.95211
19,0.864515,0.952215
20,0.857537,0.949165
21,0.865363,0.950896
22,0.853883,0.94741
23,0.862222,0.949265
24,0.853082,0.944855
25,0.859395,0.946285
26,0.849065,0.941446
27,0.854655,0.943055
28,0.841702,0.938102
29,0.851349,0.940963
30,0.84968,0.940864
31,0.841236,0.936687
32,0.85042,0.93928
33,0.841939,0.935159
34,0.846732,0.935266
35,0.841289,0.931573
36,0.828657,0.924761
37,0.834506,0.925432
38,0.826811,0.919617
39,0.838198,0.927343
40,0.833895,0.928562
41,0.837926,0.934351
42,0.838977,0.935619
43,0.852675,0.944078
44,0.851597,0.940349
45,0.847522,0.938699
46,0.848127,0.940348
47,0.847574,0.939061
48,0.843758,0.934571
49,0.837178,0.930941
50,0.837618,0.929387
51,0.839276,0.930967
52,0.830624,0.927213
53,0.842065,0.933382
54,0.83375,0.929564
55,0.844957,0.934151
56,0.839346,0.932866
57,0.848976,0.937986
58,0.841366,0.936635
59,0.855006,0.943946
60,0.867144,0.953478
61,0.84962,0.943186
62,0.851349,0.943336
63,0.852129,0.940824
64,0.839839,0.934857
65,0.84633,0.937092
66,0.832763,0.930188
67,0.838439,0.932096
68,0.838433,0.929444
69,0.837147,0.929453
70,0.833709,0.929404
71,0.839143,0.933132
72,0.832203,0.931151
73,0.844331,0.936577
74,0.842409,0.933539
75,0.822721,0.922063
76,0.833939,0.922162
77,0.820989,0.917128
78,0.837126,0.924104
79,0.822389,0.918624
80,0.840403,0.926229
81,0.825675,0.922139
82,0.840177,0.927495
83,0.82998,0.922872
84,0.839804,0.927158
85,0.829085,0.922315
86,0.841608,0.927597
87,0.829568,0.922077
88,0.837318,0.925705
89,0.828443,0.921635
90,0.83855,0.926737
91,0.829388,0.923806
92,0.840352,0.927998
93,0.830772,0.924366
94,0.841859,0.929121
95,0.833847,0.925554
96,0.843849,0.930247
97,0.834054,0.926427
98,0.842533,0.929634
99,0.834274,0.925792
100,0.84601,0.930735
101,0.836505,0.92621
102,0.847118,0.930559
103,0.839512,0.927245
104,0.846073,0.930218
105,0.839095,0.926366
106,0.844539,0.927955
107,0.836498,0.923973
108,0.839639,0.923443
109,0.832315,0.916891
110,0.831023,0.917042
111,0.834211,0.923281
112,0.841196,0.926055
113,0.85022,0.933828
114,0.859839,0.940412
115,0.851462,0.93863
116,0.864495,0.94401
117,0.857647,0.941953
118,0.866497,0.946607
119,0.858712,0.942879
120,0.877833,0.957526
121,0.864779,0.94854
122,0.86827,0.950889
123,0.862138,0.946931
124,0.869561,0.950238
125,0.862574,0.947004
126,0.86817,0.949067
127,0.862773,0.946154
128,0.860003,0.944019
129,0.846124,0.933554
130,0.84124,0.931499
131,0.837642,0.931371
132,0.831962,0.926773
133,0.831298,0.922128
134,0.830063,0.92067
135,0.818547,0.915027
136,0.829073,0.919337
137,0.829824,0.920179
138,0.833097,0.922424
139,0.834804,0.924121
140,0.822066,0.918845
141,0.836533,0.925905
142,0.823314,0.919848
143,0.838026,0.926712
144,0.826533,0.921334
145,0.837985,0.926821
146,0.827546,0.921399
147,0.842425,0.928426
148,0.832454,0.923955
149,0.841395,0.928794
150,0.833028,0.92469
151,0.843327,0.930465
152,0.835623,0.927463
153,0.846869,0.932551
154,0.835628,0.928608
155,0.847516,0.934127
156,0.83741,0.930642
157,0.846541,0.935599
158,0.835208,0.930498
159,0.845411,0.936102
160,0.835745,0.932409
161,0.84732,0.937263
162,0.837747,0.933285
163,0.847253,0.938035
164,0.838375,0.933133
165,0.847034,0.937138
166,0.837495,0.932465
167,0.847465,0.936832
168,0.836059,0.931389
169,0.845995,0.935271
170,0.834782,0.930089
171,0.843856,0.933985
172,0.835254,0.928708
173,0.841615,0.930742
174,0.831311,0.924643
175,0.839404,0.926948
176,0.828055,0.920858
177,0.836844,0.924591
178,0.825262,0.919242
179,0.832287,0.922666
180,0.851321,0.939446
181,0.83259,0.923197
182,0.835124,0.929027
183,0.833618,0.931226
184,0.845088,0.936101
185,0.842587,0.93454
186,0.832194,0.930253
187,0.845065,0.936128
188,0.834208,0.930123
189,0.84277,0.933011
190,0.836455,0.929314
191,0.845914,0.931926
192,0.834838,0.927388
193,0.843786,0.930355
194,0.837081,0.926622
195,0.848071,0.930843
196,0.839255,0.927621
197,0.851677,0.93212
198,0.850995,0.931742
199,0.838397,0.926885
200,0.847616,0.930408
201,0.837918,0.926758
202,0.847995,0.93264
203,0.840509,0.928885
204,0.849869,0.93466
205,0.841249,0.931006
206,0.851578,0.938034
207,0.843587,0.935111
208,0.852539,0.940347
209,0.8455,0.937543
