Frame, eSSIM, SSIM
0,0.801419,0.924789
1,0.779142,0.9159
2,0.771526,0.911795
3,0.770577,0.909535
4,0.765828,0.905857
5,0.764276,0.904015
6,0.765315,0.905441
7,0.761417,0.904234
8,0.745628,0.899732
9,0.762904,0.906385
10,0.758907,0.904581
11,0.756708,0.904474
12,0.726213,0.893102
13,0.715263,0.88847
14,0.688662,0.878023
15,0.719314,0.892714
16,0.717223,0.889366
17,0.698455,0.878358
18,0.713846,0.884952
19,0.718821,0.886491
20,0.696724,0.877813
21,0.718475,0.884748
22,0.699375,0.877255
23,0.711821,0.88184
24,0.68822,0.871042
25,0.704739,0.87592
26,0.683285,0.866082
27,0.699325,0.871298
28,0.671847,0.858724
29,0.692422,0.866097
30,0.691443,0.864234
31,0.666209,0.852205
32,0.685308,0.858321
33,0.657687,0.843316
34,0.672435,0.847267
35,0.662573,0.838834
36,0.637819,0.821835
37,0.650244,0.822635
38,0.624323,0.806437
39,0.64796,0.823537
40,0.634605,0.824463
41,0.655281,0.841391
42,0.657749,0.844463
43,0.67553,0.860651
44,0.66126,0.847208
45,0.658533,0.844777
46,0.663647,0.849494
47,0.662042,0.844743
48,0.655322,0.836333
49,0.646569,0.828805
50,0.644836,0.824986
51,0.655536,0.833299
52,0.632908,0.823257
53,0.663113,0.838766
54,0.638246,0.827477
55,0.662132,0.841439
56,0.641102,0.834912
57,0.677278,0.854261
58,0.663223,0.851325
59,0.695319,0.867483
60,0.775847,0.904462
61,0.700978,0.873413
62,0.716488,0.878272
63,0.705271,0.870778
64,0.658681,0.847897
65,0.685927,0.857514
66,0.651529,0.838433
67,0.675129,0.846605
68,0.659974,0.836715
69,0.654635,0.834072
70,0.647119,0.832122
71,0.644867,0.832904
72,0.626578,0.826549
73,0.650158,0.840731
74,0.645028,0.834953
75,0.609574,0.808315
76,0.633495,0.807929
77,0.603492,0.792838
78,0.635413,0.812089
79,0.59943,0.794843
80,0.640875,0.814519
81,0.612907,0.801695
82,0.647744,0.818967
83,0.607645,0.799107
84,0.647056,0.818284
85,0.606439,0.79845
86,0.646846,0.818237
87,0.614118,0.801389
88,0.647137,0.819028
89,0.614428,0.80221
90,0.646994,0.820365
91,0.615779,0.805673
92,0.642574,0.820314
93,0.621331,0.807404
94,0.650968,0.823396
95,0.624243,0.808622
96,0.65369,0.824887
97,0.625854,0.809715
98,0.65628,0.825245
99,0.628544,0.810583
100,0.661622,0.828118
101,0.636728,0.812987
102,0.664796,0.827804
103,0.639442,0.814637
104,0.665021,0.826454
105,0.63519,0.810469
106,0.655424,0.819727
107,0.634494,0.808061
108,0.645555,0.810916
109,0.631943,0.79994
110,0.627955,0.797053
111,0.627549,0.808899
112,0.645822,0.819559
113,0.661097,0.832944
114,0.683194,0.848483
115,0.664218,0.841324
116,0.69963,0.85874
117,0.676305,0.85121
118,0.70774,0.86417
119,0.686788,0.856192
120,0.781942,0.901947
121,0.710166,0.873309
122,0.742623,0.887282
123,0.711929,0.872225
124,0.733563,0.882431
125,0.699324,0.86822
126,0.725504,0.878207
127,0.698414,0.866363
128,0.704702,0.866498
129,0.674667,0.844522
130,0.653883,0.833931
131,0.641326,0.829962
132,0.62851,0.816603
133,0.617658,0.800163
134,0.621981,0.797992
135,0.589824,0.782083
136,0.621761,0.796386
137,0.628137,0.801374
138,0.637525,0.808687
139,0.648851,0.81486
140,0.624524,0.802195
141,0.658228,0.820765
142,0.621722,0.803545
143,0.667131,0.824178
144,0.633023,0.808835
145,0.666757,0.825393
146,0.629693,0.806113
147,0.67085,0.826665
148,0.630621,0.807272
149,0.670101,0.826685
150,0.644197,0.814512
151,0.677304,0.833004
152,0.649208,0.82168
153,0.683554,0.837311
154,0.651823,0.824453
155,0.685778,0.840442
156,0.659949,0.828909
157,0.693809,0.845931
158,0.666418,0.832934
159,0.695133,0.84861
160,0.66952,0.837081
161,0.701432,0.852171
162,0.671916,0.839026
163,0.705266,0.85457
164,0.661857,0.833698
165,0.703989,0.852341
166,0.672684,0.836959
167,0.705311,0.85246
168,0.66843,0.835148
169,0.7007,0.849325
170,0.665708,0.830854
171,0.695143,0.844851
172,0.645192,0.817267
173,0.675196,0.831065
174,0.636432,0.809747
175,0.658866,0.820736
176,0.624541,0.800101
177,0.651544,0.815192
178,0.622546,0.798905
179,0.645974,0.81295
180,0.737469,0.864257
181,0.656299,0.818273
182,0.67224,0.832227
183,0.652611,0.826515
184,0.684178,0.843799
185,0.676753,0.838555
186,0.644697,0.821061
187,0.681374,0.839947
188,0.651266,0.823034
189,0.681763,0.837194
190,0.649019,0.818911
191,0.681415,0.834682
192,0.650605,0.818896
193,0.680456,0.833281
194,0.648462,0.817195
195,0.689811,0.836397
196,0.656807,0.820873
197,0.695801,0.841299
198,0.69321,0.838929
199,0.656902,0.823311
200,0.695739,0.839947
201,0.662772,0.82276
202,0.69669,0.841993
203,0.673363,0.829812
204,0.694872,0.841972
205,0.655051,0.822252
206,0.694643,0.845773
207,0.665663,0.833884
208,0.699537,0.850845
209,0.664863,0.8369
210,0.706238,0.856678
211,0.66158,0.836477
212,0.708504,0.861605
213,0.674936,0.850113
214,0.717361,0.870635
215,0.687857,0.856037
216,0.714562,0.866588
217,0.688506,0.852946
218,0.71442,0.866813
219,0.682845,0.853826
220,0.720824,0.871058
221,0.701493,0.863671
222,0.727506,0.877382
223,0.729706,0.880582
224,0.734553,0.885182
225,0.738649,0.889829
226,0.743823,0.896525
227,0.750404,0.900992
228,0.727111,0.894378
229,0.757245,0.905503
230,0.723687,0.894336
231,0.758599,0.905017
232,0.722226,0.889515
233,0.753087,0.903333
234,0.725606,0.891549
235,0.751101,0.899989
236,0.725276,0.887703
237,0.745901,0.89525
238,0.725402,0.884695
239,0.740673,0.891391
240,0.810279,0.925729
241,0.766198,0.905277
242,0.72597,0.888312
243,0.745636,0.893418
244,0.736619,0.886958
245,0.726215,0.880709
246,0.691095,0.863463
247,0.713502,0.868177
